imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3
tt0425112,Hot Fuzz,2007,02,23637265.0,78.0,91.0,81.0,75.0,R,Edgar Wright,English,United Kingdom,121.0,Simon Pegg, Nick Frost, Martin Freeman,Crime,Action,Comedy
tt0435705,Next,2007,04,18211013.0,62.0,28.0,42.0,60.25,PG-13,Lee Tamahori,English,United States,96.0,Nicolas Cage, Julianne Moore, Jessica Biel,Action,Science Fiction,Thriller
tt0443706,Zodiac,2007,03,33080084.0,77.0,90.0,78.0,75.0,R,David Fincher,English,United States,157.0,Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Crime,Drama,Mystery
tt0486946,Wild Hogs,2007,03,168273550.0,58.0,14.0,27.0,59.42999999999999,PG-13,Walt Becker,English,United States,100.0,Tim Allen, Martin Lawrence, John Travolta,Action,Adventure,Comedy
tt0416449,300,2007,03,210629101.0,76.0,61.0,52.0,71.68,R,Zack Snyder,English,United States,117.0,Gerard Butler, Lena Headey, David Wenham,Action,Adventure,War
tt0768212,The Last Mimzy,2007,02,21471047.0,62.0,55.0,59.0,62.86,PG,Robert Shaye,English,United States,94.0,Joely Richardson, Rainn Wilson, Timothy Hutton,Drama,Science Fiction,Adventure
tt0416508,Becoming Jane,2007,03,18670946.0,70.0,58.0,55.0,73.15,PG,Julian Jarrold,English,United Kingdom,120.0,Anne Hathaway, James McAvoy, Julie Walters,Romance,Drama,
tt0770772,I Think I Love My Wife,2007,03,12550605.0,55.0,53.57,49.0,53.57,R,Chris Rock,English,United States,90.0,Chris Rock, Kerry Washington, Gina Torres,Comedy,Romance,
tt0477071,Premonition,2007,02,47852604.0,59.0,8.0,29.0,62.58,PG-13,Mennan Yapo,English,United States,96.0,Sandra Bullock, Julian McMahon, Amber Valletta,Thriller,Drama,Mystery
tt0455760,Dead Silence,2007,03,16809076.0,61.0,20.0,34.0,64.23,R,James Wan,English,United States,89.0,Ryan Kwanten, Amber Valletta, Donnie Wahlberg,Horror,,
tt0490204,Reign Over Me,2007,03,19661987.0,74.0,64.0,61.0,71.66,R,Mike Binder,English,United States,124.0,Adam Sandler, Don Cheadle, Jada Pinkett Smith,Drama,,
tt0475355,Pride,2007,03,7057600.0,62.0,47.0,55.0,67.33,PG,Sunu Gonera,English,Germany,104.0,Terrence Howard, Bernie Mac, Kimberly Elise,Drama,,
tt0822854,Shooter,2007,03,47003582.0,71.0,48.0,53.0,70.72,R,Antoine Fuqua,English,United States,124.0,Mark Wahlberg, Michael Peña, Rhona Mitra,Action,Drama,Mystery
tt0800069,The Hills Have Eyes 2,2007,03,20804166.0,51.0,12.0,32.0,54.85,R,Martin Weisz,English,United States,89.0,Daniella Alonso, Jacob Vargas, Michael Bailey Smith,Horror,Thriller,
tt0453556,TMNT,2007,03,54149098.0,62.0,35.0,41.0,61.050000000000004,PG,Kevin Munroe,English,Hong Kong,87.0,Patrick Stewart, Mako, Chris Evans,Adventure,Animation,Comedy
tt0459605,Eklavya: The Royal Guard,2007,01,1290212.0,61.0,75.0,69.0,67.0,Not Rated,Vidhu Vinod Chopra,Hindi,India,105.0,Amitabh Bachchan, Saif Ali Khan, Sanjay Dutt,Action,Drama,Thriller
tt0427470,The Lookout,2007,03,4600585.0,70.0,87.0,73.0,66.44,R,Scott Frank,English,United States,99.0,Joseph Gordon-Levitt, Jeff Daniels, Matthew Goode,Crime,Drama,Thriller
tt0445934,Blades of Glory,2007,03,118594548.0,63.0,70.0,64.0,61.0,PG-13,"Josh Gordon, Will Speck",English,United States,93.0,Will Ferrell, Jon Heder, Amy Poehler,Comedy,,
tt0422774,Are We Done Yet?,2007,04,49662533.0,42.0,8.0,36.0,57.5,PG,Steve Carr,English,Canada,92.0,Ice Cube, Nia Long, John C. McGinley,Family,Comedy,
tt0444682,The Reaping,2007,04,25126214.0,56.0,8.0,36.0,56.870000000000005,R,Stephen Hopkins,English,United States,99.0,Hilary Swank, David Morrissey, AnnaSophia Robb,Horror,,
tt0476995,Firehouse Dog,2007,04,13932383.0,55.0,38.0,43.0,58.620000000000005,PG,Todd Holland,English,United States,111.0,Josh Hutcherson, Bruce Greenwood, Bree Turner,Family,Comedy,
tt0396555,Meet the Robinsons,2007,03,97822171.0,68.0,67.0,61.0,68.78,G,Stephen J. Anderson,English,United States,95.0,Daniel Hansen, Wesley Singerman, Angela Bassett,Animation,Comedy,Family
tt0448134,Sunshine,2007,04,3675753.0,72.0,76.0,64.0,69.58,R,Danny Boyle,English,United Kingdom,107.0,Cillian Murphy, Rose Byrne, Chris Evans,Science Fiction,Thriller,
tt0462338,The Hoax,2006,10,7164995.0,67.0,62.53999999999999,70.0,62.53999999999999,R,Lasse Hallström,English,United States,116.0,Richard Gere, Alfred Molina, David Aaron Baker,Comedy,Drama,
tt0457433,Perfect Stranger,2007,04,23984949.0,57.0,10.0,31.0,57.699999999999996,R,James Foley,English,United States,109.0,Halle Berry, Bruce Willis, Giovanni Ribisi,Thriller,,
tt0486822,Disturbia,2007,04,80209692.0,68.0,69.0,62.0,66.78,PG-13,D.J. Caruso,English,United States,105.0,Shia LaBeouf, David Morse, Carrie-Anne Moss,Thriller,Drama,Mystery
tt0446013,Pathfinder,2007,01,10232081.0,54.0,9.0,29.0,56.52,R,Marcus Nispel,English,United States,99.0,Karl Urban, Clancy Brown, Moon Bloodgood,Adventure,Action,
tt0455326,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,04,5520368.0,67.0,48.0,54.0,65.7,R,"Matt Maiellaro, Dave Willis",English,United States,86.0,Dana Snyder, Dave Willis, Carey Means,Animation,Comedy,
