Title,Rated,Director,Language,Country,imdbID,BoxOffice,IMDB_Value,RT_Value,MC_Value,Actor_1,Actor_2,Actor_3,Actor_4
The Letter,Not Rated,William Wyler,English,United States,tt0032701,,76.0,100.0,,Bette Davis, Herbert Marshall, James Stephenson,
Here Comes Mr. Jordan,Passed,Alexander Hall,English,United States,tt0033712,,76.0,100.0,,Robert Montgomery, Claude Rains, Evelyn Keyes,
Random Harvest,Passed,Mervyn LeRoy,English,United States,tt0035238,,79.0,90.0,62.0,Ronald Colman, Greer Garson, Philip Dorn,
Tales of Manhattan,Passed,Julien Duvivier,English,United States,tt0035415,,73.0,,,Charles Boyer, Rita Hayworth, Ginger Rogers,
Day of Wrath,Not Rated,Carl Theodor Dreyer,Danish,Denmark,tt0036506,7642.0,81.0,100.0,,Thorkild Roose, Lisbeth Movin, Sigrid Neiiendam,
The Miracle of Morgan's Creek,Approved,Preston Sturges,English,United States,tt0037077,,76.0,86.0,86.0,Eddie Bracken, Betty Hutton, Diana Lynn,
Mr. Skeffington,Approved,Vincent Sherman,English,United States,tt0037094,,76.0,57.0,,Bette Davis, Claude Rains, Walter Abel,
Great Expectations,Approved,David Lean,English,United Kingdom,tt0038574,,78.0,100.0,90.0,John Mills, Valerie Hobson, Tony Wager,
The Stranger,Passed,Orson Welles,English,United States,tt0038991,,73.0,97.0,76.0,Orson Welles, Edward G. Robinson, Loretta Young,
Easter Parade,G,Charles Walters,English,United States,tt0040308,,73.0,91.0,,Judy Garland, Fred Astaire, Peter Lawford,
The Lady from Shanghai,Not Rated,Orson Welles,English,United States,tt0040525,,75.0,84.0,,Rita Hayworth, Orson Welles, Everett Sloane,
The Three Musketeers,Not Rated,George Sidney,English,United States,tt0040876,,71.0,75.0,,Lana Turner, Gene Kelly, June Allyson,
Unfaithfully Yours,Not Rated,Preston Sturges,English,United States,tt0040919,,75.0,94.0,,Rex Harrison, Linda Darnell, Rudy Vallee,
A Letter to Three Wives,Passed,Joseph L. Mankiewicz,English,United States,tt0041587,,77.0,95.0,,Jeanne Crain, Linda Darnell, Ann Sothern,
Annie Get Your Gun,Passed,"George Sidney, Busby Berkeley",English,United States,tt0042200,,69.0,100.0,77.0,Betty Hutton, Howard Keel, Louis Calhern,
King Solomon's Mines,Passed,"Compton Bennett, Andrew Marton",English,United States,tt0042646,,68.0,92.0,,Deborah Kerr, Stewart Granger, Richard Carlson,
The Young and the Damned,Not Rated,Luis Buñuel,Spanish,Mexico,tt0042804,,83.0,91.0,,Alfonso Mejía, Roberto Cobo, Estela Inda,
A Star Is Born,Passed,George Cukor,English,United States,tt0047522,4335968.0,75.0,98.0,89.0,Judy Garland, James Mason, Jack Carson,
The Wild One,Approved,Laslo Benedek,English,United States,tt0047677,,68.0,76.0,,Marlon Brando, Mary Murphy, Robert Keith,
Confidential Report,Not Rated,Orson Welles,English,France,tt0048393,,71.0,75.0,,Orson Welles, Peter van Eyck, Michael Redgrave,
Night and Fog,Not Rated,Alain Resnais,French,France,tt0048434,,86.0,,,Michel Bouquet, Reinhard Heydrich, Heinrich Himmler,
Teacher's Pet,Approved,George Seaton,English,United States,tt0052278,,71.0,86.0,,Clark Gable, Doris Day, Gig Young,
