Title,Rated,Director,Language,Country,imdbID,BoxOffice,IMDB_Value,RT_Value,MC_Value,Actor_1,Actor_2,Actor_3,Actor_4
Toy Story,G,John Lasseter,English,United States,tt0114709,223225679.0,83.0,100.0,95.0,Tom Hanks, Tim Allen, Don Rickles,
Jumanji,PG,Joe Johnston,English,United States,tt0113497,100499940.0,70.0,52.0,39.0,Robin Williams, Kirsten Dunst, Bonnie Hunt,
Grumpier Old Men,PG-13,Howard Deutch,English,United States,tt0113228,71518503.0,66.0,17.0,46.0,Walter Matthau, Jack Lemmon, Ann-Margret,
Waiting to Exhale,R,Forest Whitaker,English,United States,tt0114885,67052156.0,59.0,61.0,,Whitney Houston, Angela Bassett, Loretta Devine,
Father of the Bride Part II,PG,Charles Shyer,English,United States,tt0113041,76594107.0,60.0,52.0,49.0,Steve Martin, Diane Keaton, Martin Short,
Heat,R,Michael Mann,English,United States,tt0113277,67436818.0,83.0,88.0,76.0,Al Pacino, Robert De Niro, Val Kilmer,
Sabrina,PG,Sydney Pollack,English,Germany,tt0114319,53672080.0,63.0,63.0,56.0,Harrison Ford, Julia Ormond, Greg Kinnear,
Tom and Huck,PG,Peter Hewitt,English,United States,tt0112302,23920048.0,55.0,25.0,,Jonathan Taylor Thomas, Brad Renfro, Charles Rocket,
Sudden Death,R,Peter Hyams,English,United States,tt0114576,20350171.0,58.0,50.0,,Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry,
GoldenEye,PG-13,Martin Campbell,English,United Kingdom,tt0113189,106429941.0,72.0,80.0,65.0,Pierce Brosnan, Sean Bean, Izabella Scorupco,
The American President,PG-13,Rob Reiner,English,United States,tt0112346,60079496.0,68.0,91.0,67.0,Michael Douglas, Annette Bening, Martin Sheen,
Dracula: Dead and Loving It,PG-13,Mel Brooks,English,France,tt0112896,10772144.0,58.0,11.0,,Leslie Nielsen, Mel Brooks, Peter MacNicol,
Balto,G,Simon Wells,English,United States,tt0112453,11348324.0,71.0,56.0,,Kevin Bacon, Bob Hoskins, Bridget Fonda,
Nixon,R,Oliver Stone,English,United States,tt0113987,13681765.0,71.0,75.0,66.0,Anthony Hopkins, Joan Allen, Powers Boothe,
Cutthroat Island,PG-13,Renny Harlin,English,United States,tt0112760,10017322.0,57.0,39.0,37.0,Geena Davis, Matthew Modine, Frank Langella,
Casino,R,Martin Scorsese,English,United States,tt0112641,42512375.0,82.0,79.0,73.0,Robert De Niro, Sharon Stone, Joe Pesci,
Sense and Sensibility,PG,Ang Lee,English,United States,tt0114388,43182776.0,77.0,97.0,84.0,Emma Thompson, Kate Winslet, James Fleet,
Four Rooms,R,"Allison Anders, Alexandre Rockwell, Robert Rodriguez",English,United States,tt0113101,4257354.0,67.0,13.0,,Tim Roth, Antonio Banderas, Sammi Davis,
Ace Ventura: When Nature Calls,PG-13,Steve Oedekerk,English,United States,tt0112281,108385533.0,64.0,21.0,45.0,Jim Carrey, Ian McNeice, Simon Callow,
Money Train,R,Joseph Ruben,English,United States,tt0113845,35431113.0,57.0,22.0,,Wesley Snipes, Woody Harrelson, Jennifer Lopez,
Get Shorty,R,Barry Sonnenfeld,English,United States,tt0113161,72101622.0,69.0,88.0,82.0,Gene Hackman, Rene Russo, Danny DeVito,
Copycat,R,Jon Amiel,English,United States,tt0112722,32051917.0,66.0,75.0,54.0,Sigourney Weaver, Holly Hunter, Dermot Mulroney,
Assassins,R,Richard Donner,English,France,tt0112401,30303072.0,63.0,16.0,,Sylvester Stallone, Antonio Banderas, Julianne Moore,
Powder,PG-13,Victor Salva,English,United States,tt0114168,30862156.0,66.0,50.0,,Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen,
Leaving Las Vegas,R,Mike Figgis,English,United States,tt0113627,32029928.0,75.0,91.0,82.0,Nicolas Cage, Elisabeth Shue, Julian Sands,
Othello,R,Oliver Parker,English,United States,tt0114057,2844379.0,69.0,68.0,,Laurence Fishburne, Kenneth Branagh, Irène Jacob,
Now and Then,PG-13,Lesli Linka Glatter,English,United States,tt0114011,27112329.0,67.0,33.0,50.0,Christina Ricci, Demi Moore, Rosie O'Donnell,
Persuasion,PG,Roger Michell,English,UK,tt0114117,,77.0,87.0,,Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave
The City of Lost Children,R,"Marc Caro, Jean-Pierre Jeunet",French,France,tt0112682,1738611.0,75.0,80.0,73.0,Ron Perlman, Daniel Emilfork, Judith Vittet,
Shanghai Triad,R,Yimou Zhang,Mandarin,France,tt0115012,2086101.0,71.0,90.0,77.0,Gong Li, Baotian Li, Xiaoxiao Wang,
Dangerous Minds,R,John N. Smith,English,United States,tt0112792,84919401.0,65.0,33.0,47.0,Michelle Pfeiffer, George Dzundza, Courtney B. Vance,
12 Monkeys,R,Terry Gilliam,English,United States,tt0114746,57141459.0,80.0,88.0,74.0,Bruce Willis, Madeleine Stowe, Brad Pitt,
Babe,G,Chris Noonan,English,Australia,tt0112431,63658910.0,69.0,97.0,83.0,James Cromwell, Magda Szubanski, Christine Cavanaugh,
Dead Man Walking,R,Tim Robbins,English,United Kingdom,tt0112818,39363635.0,75.0,95.0,80.0,Susan Sarandon, Sean Penn, Robert Prosky,
It Takes Two,PG,Andy Tennant,English,United States,tt0113442,19474589.0,59.0,8.0,45.0,Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen,
Clueless,PG-13,Amy Heckerling,English,United States,tt0112697,56631572.0,69.0,,68.0,Alicia Silverstone, Stacey Dash, Brittany Murphy,
"Cry, the Beloved Country",PG-13,Darrell Roodt,English,South Africa,tt0112749,670727.0,68.0,85.0,71.0,Richard Harris, James Earl Jones, Vusi Kunene,
Richard III,R,Richard Loncraine,English,United Kingdom,tt0114279,2684904.0,73.0,96.0,86.0,Ian McKellen, Annette Bening, Christopher Bowen,
Dead Presidents,R,"Albert Hughes, Allen Hughes",English,United States,tt0112819,24147179.0,69.0,49.0,,Larenz Tate, Keith David, Chris Tucker,
Restoration,R,Michael Hoffman,English,United States,tt0114272,4005941.0,66.0,71.0,66.0,Robert Downey Jr., Sam Neill, David Thewlis,
Mortal Kombat,PG-13,Paul W.S. Anderson,English,United States,tt0113855,70454098.0,58.0,45.0,60.0,Christopher Lambert, Robin Shou, Linden Ashby,
To Die For,R,Gus Van Sant,English,United States,tt0114681,21284514.0,68.0,88.0,86.0,Nicole Kidman, Matt Dillon, Joaquin Phoenix,
How to Make an American Quilt,PG-13,Jocelyn Moorhouse,English,United States,tt0113347,23600020.0,63.0,63.0,,Winona Ryder, Ellen Burstyn, Anne Bancroft,
Se7en,R,David Fincher,English,United States,tt0114369,100125643.0,86.0,82.0,65.0,Morgan Freeman, Brad Pitt, Kevin Spacey,
Pocahontas,G,"Mike Gabriel, Eric Goldberg",English,United States,tt0114148,141579773.0,67.0,55.0,58.0,Mel Gibson, Linda Hunt, Christian Bale,
When Night Is Falling,Unrated,Patricia Rozema,English,Canada,tt0114916,919671.0,65.0,53.0,,Pascale Bussières, Rachael Crawford, Henry Czerny,
The Usual Suspects,R,Bryan Singer,English,United States,tt0114814,23341568.0,85.0,89.0,77.0,Kevin Spacey, Gabriel Byrne, Chazz Palminteri,
Mighty Aphrodite,R,Woody Allen,English,United States,tt0113819,6468498.0,70.0,78.0,59.0,Woody Allen, Mira Sorvino, Pamela Blair,
Lamerica,,Gianni Amelio,Albanian,Italy,tt0110299,438483.0,74.0,91.0,,Enrico Lo Verso, Michele Placido, Piro Milkani,
The Big Green,PG,Holly Goldberg Sloan,English,United States,tt0112499,17736619.0,55.0,0.0,,Steve Guttenberg, Olivia d'Abo, Jay O. Sanders,
Georgia,R,Ulu Grosbard,English,France,tt0113158,1110104.0,65.0,80.0,81.0,Jennifer Jason Leigh, Mare Winningham, Ted Levine,
Home for the Holidays,PG-13,Jodie Foster,English,United States,tt0113321,17519169.0,65.0,64.0,56.0,Holly Hunter, Anne Bancroft, Robert Downey Jr.,
The Postman,PG,"Michael Radford, Massimo Troisi",Italian,Italy,tt0110877,21848932.0,78.0,94.0,81.0,Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta,
The Indian in the Cupboard,PG,Frank Oz,English,United States,tt0113419,35656131.0,60.0,71.0,58.0,Hal Scardino, Litefoot, Lindsay Crouse,
Eye for an Eye,R,John Schlesinger,English,United States,tt0116260,26877589.0,61.0,,25.0,Sally Field, Kiefer Sutherland, Ed Harris,
Mr. Holland's Opus,PG,Stephen Herek,English,United States,tt0113862,82569971.0,73.0,75.0,59.0,Richard Dreyfuss, Glenne Headly, Jay Thomas,
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,R,Paris Barclay,English,United States,tt0116126,20109115.0,65.0,32.0,53.0,Shawn Wayans, Marlon Wayans, Keenen Ivory Wayans,
Two If by Sea,R,Bill Bennett,English,United States,tt0118002,10658278.0,52.0,13.0,30.0,Sandra Bullock, Denis Leary, Stephen Dillane,
Bio-Dome,PG-13,Jason Bloom,English,United States,tt0115683,13427615.0,43.0,4.0,1.0,Pauly Shore, Stephen Baldwin, William Atherton,
Lawnmower Man 2: Beyond Cyberspace,PG-13,Farhad Mann,English,United States,tt0116839,2409225.0,25.0,10.0,29.0,Patrick Bergin, Matt Frewer, Austin O'Brien,
French Twist,R,Josiane Balasko,French,France,tt0113149,1026646.0,64.0,62.0,,Victoria Abril, Josiane Balasko, Alain Chabat,
Friday,R,F. Gary Gray,English,United States,tt0113118,27467564.0,72.0,,54.0,Ice Cube, Chris Tucker, Nia Long,
From Dusk Till Dawn,R,Robert Rodriguez,English,United States,tt0116367,25836616.0,72.0,63.0,48.0,Harvey Keitel, George Clooney, Juliette Lewis,
Fair Game,R,Andrew Sipes,English,United States,tt0113010,11534477.0,43.0,12.0,13.0,William Baldwin, Cindy Crawford, Steven Berkoff,
Kicking and Screaming,R,Noah Baumbach,English,United States,tt0113537,718490.0,67.0,57.0,75.0,Josh Hamilton, Eric Stoltz, Samuel Gould,
Les Misérables,R,Claude Lelouch,French,France,tt0113828,740048.0,75.0,81.0,,Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines,
Bed of Roses,PG,Michael Goldenberg,English,United States,tt0115644,19030691.0,60.0,19.0,,Christian Slater, Mary Stuart Masterson, Pamela Adlon,
Big Bully,PG,Steve Miner,English,United States,tt0115676,2042530.0,47.0,0.0,,Rick Moranis, Tom Arnold, Julianne Phillips,
Screamers,R,Christian Duguay,English,Canada,tt0114367,5711695.0,63.0,29.0,,Peter Weller, Roy Dupuis, Jennifer Rubin,
Nico Icon,,Susanne Ofteringer,English,Germany,tt0113973,306691.0,72.0,82.0,,Nico, Tina Aumont, Christian Päffgen,
The Crossing Guard,R,Sean Penn,English,United States,tt0112744,868979.0,63.0,75.0,46.0,Jack Nicholson, David Morse, Anjelica Huston,
The Juror,R,Brian Gibson,English,United States,tt0116731,22754725.0,57.0,22.0,,Demi Moore, Alec Baldwin, Joseph Gordon-Levitt,
The White Balloon,Unrated,Jafar Panahi,Persian,Iran,tt0112445,924940.0,76.0,82.0,,Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy,
Things to Do in Denver When You're Dead,R,Gary Fleder,English,United States,tt0114660,529766.0,67.0,34.0,46.0,Andy Garcia, Christopher Walken, Christopher Lloyd,
Antonia's Line,R,Marleen Gorris,Dutch,,tt0112379,,74.0,69.0,,Willeke van Ammelrooy, Jan Decleir, Veerle van Overloop,
Once Upon a Time... When We Were Colored,PG,Tim Reid,English,United States,tt0114039,2291255.0,74.0,71.0,,Al Freeman Jr., Phylicia Rashad, Leon,
Angels and Insects,R,Philip Haas,English,United Kingdom,tt0112365,3414301.0,68.0,68.0,,Mark Rylance, Kristin Scott Thomas, Patsy Kensit,
White Squall,PG-13,Ridley Scott,English,United States,tt0118158,10292300.0,66.0,57.0,53.0,Jeff Bridges, Caroline Goodall, John Savage,
Dunston Checks In,PG,Ken Kwapis,English,United States,tt0116151,9871065.0,53.0,17.0,54.0,Jason Alexander, Faye Dunaway, Eric Lloyd,
Black Sheep,PG-13,Penelope Spheeris,English,United States,tt0115697,32417995.0,62.0,28.0,34.0,Chris Farley, David Spade, Tim Matheson,
Nick of Time,R,John Badham,English,United States,tt0113972,8175346.0,63.0,30.0,,Johnny Depp, Christopher Walken, Courtney Chase,
Mary Reilly,R,Stephen Frears,English,United States,tt0117002,5707094.0,58.0,26.0,44.0,Julia Roberts, John Malkovich, George Cole,
Vampire in Brooklyn,R,Wes Craven,English,United States,tt0114825,19751736.0,46.0,12.0,27.0,Eddie Murphy, Angela Bassett, Allen Payne,
Beautiful Girls,R,Ted Demme,English,United States,tt0115639,10597759.0,71.0,78.0,64.0,Matt Dillon, Timothy Hutton, Noah Emmerich,
Broken Arrow,R,John Woo,English,United States,tt0115759,70770147.0,61.0,54.0,61.0,John Travolta, Christian Slater, Samantha Mathis,
A Midwinter's Tale,R,Kenneth Branagh,English,United Kingdom,tt0113403,469571.0,72.0,81.0,,Michael Maloney, Richard Briers, Hetta Charnley,
La haine,Not Rated,Mathieu Kassovitz,French,France,tt0113247,280859.0,81.0,100.0,,Vincent Cassel, Hubert Koundé, Saïd Taghmaoui,
Heidi Fleiss: Hollywood Madam,Not Rated,Nick Broomfield,English,United Kingdom,tt0113283,34402.0,66.0,78.0,,Nick Broomfield, Nina Xining Zuo, Madam Alex,
City Hall,R,Harold Becker,English,United States,tt0115907,20340204.0,62.0,56.0,62.0,Al Pacino, John Cusack, Bridget Fonda,
Bottle Rocket,R,Wes Anderson,English,United States,tt0115734,560069.0,69.0,85.0,66.0,Luke Wilson, Owen Wilson, Ned Dowd,
Mr. Wrong,PG-13,Nick Castle,English,United States,tt0117102,12825141.0,38.0,6.0,,Ellen DeGeneres, Bill Pullman, Joan Cusack,
Unforgettable,R,John Dahl,English,,tt0118040,,60.0,21.0,,Ray Liotta, Linda Fiorentino, Peter Coyote,
Happy Gilmore,PG-13,Dennis Dugan,English,United States,tt0116483,38824099.0,70.0,61.0,31.0,Adam Sandler, Christopher McDonald, Julie Bowen,
The Bridges of Madison County,PG-13,Clint Eastwood,English,United States,tt0112579,71516617.0,76.0,90.0,69.0,Clint Eastwood, Meryl Streep, Annie Corley,
Nobody Loves Me,,Doris Dörrie,German,Germany,tt0110251,,72.0,67.0,,Maria Schrader, Pierre Sanoussi-Bliss, Michael von Au,
Muppet Treasure Island,G,"Brian Henson, David Lane",English,United States,tt0117110,34327391.0,69.0,71.0,64.0,Tim Curry, Billy Connolly, Jennifer Saunders,
Catwalk,,Robert Leacock,English,United States,tt0112646,28672.0,69.0,38.0,,Christy Turlington, Azzedine Alaïa, Giorgio Armani,
Braveheart,R,Mel Gibson,English,United States,tt0112573,75609945.0,84.0,75.0,68.0,Mel Gibson, Sophie Marceau, Patrick McGoohan,
Taxi Driver,R,Martin Scorsese,English,United States,tt0075314,28262574.0,82.0,96.0,94.0,Robert De Niro, Jodie Foster, Cybill Shepherd,
Rumble in the Bronx,R,Stanley Tong,Cantonese,Hong Kong,tt0113326,32392047.0,67.0,80.0,61.0,Jackie Chan, Anita Mui, Françoise Yip,
Before and After,PG-13,Barbet Schroeder,English,United States,tt0115645,8797839.0,61.0,32.0,,Meryl Streep, Liam Neeson, Edward Furlong,
Anne Frank Remembered,PG,Jon Blair,English,United Kingdom,tt0112373,1310200.0,81.0,97.0,,Kenneth Branagh, Glenn Close, Isa Baschwitz,
The Young Poisoner's Handbook,R,Benjamin Ross,English,United Kingdom,tt0115033,536825.0,70.0,87.0,,Hugh O'Conor, Antony Sher, Tobias Arnold,
If Lucy Fell,R,Eric Schaeffer,English,United States,tt0116606,2420162.0,49.0,18.0,33.0,Sarah Jessica Parker, Eric Schaeffer, Ben Stiller,
Steal Big Steal Little,PG-13,Andrew Davis,English,United States,tt0114536,3150170.0,47.0,15.0,,Andy Garcia, Alan Arkin, Rachel Ticotin,
The Boys of St. Vincent,TV-14,John N. Smith,English,Canada,tt0106473,204540.0,76.0,100.0,,Henry Czerny, Johnny Morina, Brian Dooley,
Boomerang,R,Reginald Hudlin,English,United States,tt0103859,70052444.0,56.0,48.0,45.0,Eddie Murphy, Robin Givens, Halle Berry,
Chungking Express,PG-13,Kar-Wai Wong,Cantonese,Hong Kong,tt0109424,600200.0,80.0,88.0,78.0,Brigitte Lin, Takeshi Kaneshiro, Tony Chiu-Wai Leung,
Flirting with Disaster,R,David O. Russell,English,United States,tt0116324,14702438.0,67.0,88.0,81.0,Ben Stiller, Patricia Arquette, Téa Leoni,
The NeverEnding Story III,G,Peter MacDonald,English,Germany,tt0110647,,31.0,,,Jason James Richter, Melody Kay, Jack Black,
Jupiter's Wife,Not Rated,Michel Negroponte,English,United States,tt0110217,10622.0,71.0,83.0,,Maggie Cogan, Katina Pendleton,,
Pie in the Sky,R,Bryan Gordon,English,United States,tt0114131,,58.0,,,Josh Charles, Anne Heche, John Goodman,
Jade,R,William Friedkin,English,United States,tt0113451,9851610.0,53.0,13.0,33.0,David Caruso, Linda Fiorentino, Chazz Palminteri,
Down Periscope,PG-13,David S. Ward,English,United States,tt0116130,25785603.0,61.0,11.0,39.0,Kelsey Grammer, Lauren Holly, Rob Schneider,
Man of the Year,,Dirk Shafer,English,United States,tt0113756,209935.0,60.0,24.0,,Vivian Paxton, Claudette Sutherland, Michael Ornstein,
Up Close & Personal,PG-13,Jon Avnet,English,United States,tt0118055,51088705.0,61.0,32.0,,Robert Redford, Michelle Pfeiffer, Stockard Channing,
The Birdcage,R,Mike Nichols,English,United States,tt0115685,124060553.0,72.0,82.0,72.0,Robin Williams, Nathan Lane, Gene Hackman,
The Brothers McMullen,R,Edward Burns,English,United States,tt0112585,10426506.0,66.0,87.0,73.0,Jack Mulcahy, Michael McGlone, Edward Burns,
Bad Boys,R,Michael Bay,Persian,United States,tt0112442,65807024.0,68.0,42.0,41.0,Will Smith, Martin Lawrence, Lisa Boyle,
The Amazing Panda Adventure,PG,Christopher Cain,English,United States,tt0112342,7506759.0,57.0,30.0,,Stephen Lang, Ryan Slater, Yi Ding,
The Basketball Diaries,R,Scott Kalvert,English,United States,tt0112461,2381087.0,73.0,47.0,46.0,Leonardo DiCaprio, Lorraine Bracco, Marilyn Sokol,
An Awfully Big Adventure,R,Mike Newell,English,United Kingdom,tt0112427,259724.0,59.0,40.0,,Hugh Grant, Alan Rickman, Georgina Cates,
Amateur,R,Hal Hartley,English,United States,tt0109093,757088.0,68.0,79.0,53.0,Isabelle Huppert, Martin Donovan, Elina Löwensohn,
Apollo 13,PG,Ron Howard,English,United States,tt0112384,173837933.0,77.0,96.0,77.0,Tom Hanks, Bill Paxton, Kevin Bacon,
Rob Roy,R,Michael Caton-Jones,English,United Kingdom,tt0114287,31596911.0,69.0,73.0,55.0,Liam Neeson, Jessica Lange, John Hurt,
The Addiction,Not Rated,Abel Ferrara,English,United States,tt0112288,307308.0,64.0,73.0,,Lili Taylor, Christopher Walken, Annabella Sciorra,
Batman Forever,PG-13,Joel Schumacher,English,United States,tt0112462,184069126.0,54.0,39.0,51.0,Val Kilmer, Tommy Lee Jones, Jim Carrey,
Belle de Jour,R,Luis Buñuel,French,France,tt0061395,4063348.0,77.0,95.0,,Catherine Deneuve, Jean Sorel, Michel Piccoli,
Beyond Rangoon,R,John Boorman,English,United Kingdom,tt0112495,5750110.0,65.0,37.0,,Patricia Arquette, U Aung Ko, Frances McDormand,
Blue in the Face,R,"Paul Auster, Wayne Wang, Harvey Wang",English,United States,tt0112541,1268636.0,66.0,43.0,54.0,Harvey Keitel, Lou Reed, Michael J. Fox,
Canadian Bacon,PG,Michael Moore,English,United States,tt0109370,163971.0,59.0,12.0,,John Candy, Alan Alda, Rhea Perlman,
Casper,PG,Brad Silberling,English,United States,tt0112642,100328194.0,61.0,51.0,49.0,Bill Pullman, Christina Ricci, Cathy Moriarty,
Clockers,R,Spike Lee,English,United States,tt0112688,13071518.0,69.0,73.0,71.0,Harvey Keitel, John Turturro, Delroy Lindo,
Congo,PG-13,Frank Marshall,English,United States,tt0112715,81022101.0,52.0,20.0,22.0,Laura Linney, Tim Curry, Dylan Walsh,
Crimson Tide,R,Tony Scott,English,United States,tt0112740,91387195.0,73.0,89.0,66.0,Gene Hackman, Denzel Washington, Matt Craven,
Crumb,R,Terry Zwigoff,English,United States,tt0109508,3041083.0,80.0,95.0,93.0,Robert Crumb, Aline Kominsky-Crumb, Charles Crumb,
Desperado,R,Robert Rodriguez,English,United States,tt0112851,25405445.0,71.0,67.0,55.0,Antonio Banderas, Salma Hayek, Joaquim de Almeida,
Devil in a Blue Dress,R,Carl Franklin,English,United States,tt0112857,16140822.0,67.0,92.0,78.0,Denzel Washington, Tom Sizemore, Jennifer Beals,
Die Hard with a Vengeance,R,John McTiernan,English,United States,tt0112864,100012499.0,76.0,58.0,58.0,Bruce Willis, Jeremy Irons, Samuel L. Jackson,
The Doom Generation,R,Gregg Araki,English,United States,tt0112887,284785.0,60.0,49.0,48.0,James Duval, Rose McGowan, Johnathon Schaech,
First Knight,PG-13,Jerry Zucker,English,United States,tt0113071,37600435.0,60.0,43.0,57.0,Sean Connery, Richard Gere, Julia Ormond,
Free Willy 2: The Adventure Home,PG,Dwight H. Little,English,France,tt0113114,30077111.0,50.0,50.0,,Jason James Richter, Michael Madsen, Francis Capra,
Hackers,PG-13,Iain Softley,English,United States,tt0113243,7563728.0,62.0,31.0,46.0,Jonny Lee Miller, Angelina Jolie, Jesse Bradford,
Jeffrey,R,Christopher Ashley,English,United States,tt0113464,3487767.0,68.0,70.0,,Steven Weber, Michael T. Weiss, Peter Jacobson,
Johnny Mnemonic,R,Robert Longo,English,Canada,tt0113481,19075720.0,56.0,18.0,36.0,Keanu Reeves, Dolph Lundgren, Dina Meyer,
Judge Dredd,R,Danny Cannon,English,United States,tt0113492,34693481.0,56.0,22.0,,Sylvester Stallone, Armand Assante, Rob Schneider,
Jury Duty,PG-13,John Fortenberry,English,United States,tt0113500,17014653.0,42.0,0.0,,Pauly Shore, Tia Carrere, Stanley Tucci,
Kids,NC-17,Larry Clark,Spanish,United States,tt0113540,7412216.0,70.0,47.0,63.0,Leo Fitzpatrick, Justin Pierce, Chloë Sevigny,
Living in Oblivion,R,Tom DiCillo,English,United States,tt0113677,1111790.0,75.0,86.0,81.0,Steve Buscemi, Catherine Keener, Dermot Mulroney,
Lord of Illusions,R,Clive Barker,English,United States,tt0113690,13294422.0,60.0,58.0,,Scott Bakula, Kevin J. O'Connor, J. Trevor Edmond,
Love & Human Remains,R,Denys Arcand,English,Canada,tt0107447,542985.0,67.0,71.0,,Thomas Gibson, Ruth Marshall, Cameron Bancroft,
Mad Love,PG-13,Antonia Bird,English,United States,tt0113729,15453274.0,53.0,,,Chris O'Donnell, Drew Barrymore, Matthew Lillard,
Mallrats,R,Kevin Smith,English,United States,tt0113749,2122561.0,70.0,57.0,41.0,Shannen Doherty, Jeremy London, Jason Lee,
Mighty Morphin Power Rangers,PG,Bryan Spicer,English,United States,tt0113820,38187431.0,52.0,32.0,40.0,Karan Ashley, Johnny Yong Bosch, Steve Cardenas,
Mute Witness,R,Anthony Waller,English,United Kingdom,tt0110604,1125910.0,67.0,83.0,,Marina Zudina, Fay Ripley, Evan Richards,
Nadja,R,Michael Almereyda,English,United States,tt0110620,443169.0,61.0,,64.0,Elina Löwensohn, Peter Fonda, Nic Ratner,
The Net,PG-13,Irwin Winkler,English,United States,tt0113957,50727965.0,59.0,43.0,51.0,Sandra Bullock, Jeremy Northam, Dennis Miller,
Nine Months,PG-13,Chris Columbus,English,United States,tt0113986,69684532.0,55.0,25.0,47.0,Hugh Grant, Julianne Moore, Tom Arnold,
Party Girl,R,Daisy von Scherler Mayer,English,United States,tt0114095,472370.0,65.0,79.0,55.0,Parker Posey, Omar Townsend, The Lady Bunny,
The Prophecy,R,Gregory Widen,English,United States,tt0114194,16115878.0,64.0,46.0,44.0,Christopher Walken, Elias Koteas, Virginia Madsen,
Reckless,PG-13,Norman René,English,United States,tt0114241,103351.0,52.0,14.0,,Mia Farrow, Tony Goldwyn, Juana Barrios,
Safe,R,Todd Haynes,English,United States,tt0114323,512245.0,71.0,87.0,76.0,Julianne Moore, Xander Berkeley, Dean Norris,
The Scarlet Letter,R,Roland Joffé,English,United States,tt0114345,10382407.0,53.0,13.0,,Demi Moore, Gary Oldman, Robert Duvall,
Showgirls,NC-17,Paul Verhoeven,English,France,tt0114436,20350754.0,50.0,23.0,16.0,Elizabeth Berkley, Kyle MacLachlan, Gina Gershon,
Smoke,R,Wayne Wang,English,Germany,tt0114478,8367636.0,74.0,90.0,70.0,Harvey Keitel, William Hurt, Giancarlo Esposito,
Something to Talk About,R,Lasse Hallström,English,United States,tt0114496,50865589.0,57.0,39.0,62.0,Julia Roberts, Dennis Quaid, Robert Duvall,
Species,R,Roger Donaldson,English,United States,tt0114508,60074103.0,58.0,42.0,49.0,Natasha Henstridge, Michael Madsen, Ben Kingsley,
Strange Days,R,Kathryn Bigelow,English,United States,tt0114558,7959291.0,72.0,66.0,66.0,Ralph Fiennes, Angela Bassett, Juliette Lewis,
The Umbrellas of Cherbourg,Not Rated,Jacques Demy,French,France,tt0058450,28030.0,78.0,97.0,86.0,Catherine Deneuve, Nino Castelnuovo, Anne Vernon,
Three Wishes,PG,Martha Coolidge,English,United States,tt0114663,7027517.0,61.0,13.0,,Patrick Swayze, Mary Elizabeth Mastrantonio, Joseph Mazzello,
Total Eclipse,R,Agnieszka Holland,English,United Kingdom,tt0114702,340139.0,65.0,22.0,42.0,Leonardo DiCaprio, David Thewlis, Romane Bohringer,
"To Wong Foo, Thanks for Everything! Julie Newmar",PG-13,Beeban Kidron,English,United States,tt0114682,36474193.0,66.0,43.0,60.0,Wesley Snipes, Patrick Swayze, John Leguizamo,
Under Siege 2: Dark Territory,R,Geoff Murphy,English,United States,tt0114781,50024083.0,55.0,34.0,52.0,Steven Seagal, Eric Bogosian, Everett McGill,
Unstrung Heroes,PG,Diane Keaton,English,United States,tt0114798,7929434.0,67.0,75.0,70.0,Andie MacDowell, John Turturro, Michael Richards,
Unzipped,R,Douglas Keeve,English,United States,tt0114805,2875086.0,64.0,78.0,,Isaac Mizrahi, Roseanne Barr, Sandra Bernhard,
A Walk in the Clouds,PG-13,Alfonso Arau,English,United States,tt0114887,50008143.0,67.0,46.0,54.0,Keanu Reeves, Aitana Sánchez-Gijón, Anthony Quinn,
Waterworld,PG-13,Kevin Reynolds,English,United States,tt0114898,88246220.0,62.0,45.0,56.0,Kevin Costner, Jeanne Tripplehorn, Dennis Hopper,
White Man's Burden,R,Desmond Nakano,English,France,tt0114928,3734870.0,53.0,24.0,,John Travolta, Harry Belafonte, Kelly Lynch,
Wild Bill,R,Walter Hill,English,United States,tt0114938,2193982.0,58.0,44.0,51.0,Jeff Bridges, Ellen Barkin, John Hurt,
The Browning Version,R,Mike Figgis,English,United Kingdom,tt0109340,487391.0,72.0,78.0,,Albert Finney, Greta Scacchi, Matthew Modine,
Bushwhacked,PG-13,Greg Beeman,English,United States,tt0112602,7919823.0,56.0,10.0,,Daniel Stern, Jon Polito, Brad Sullivan,
Burnt by the Sun,R,Nikita Mikhalkov,Russian,Russia,tt0111579,2302338.0,78.0,81.0,,Nikita Mikhalkov, Ingeborga Dapkunaite, Oleg Menshikov,
Before the Rain,Not Rated,Milcho Manchevski,Macedonian,United Kingdom,tt0110882,763847.0,79.0,92.0,,Katrin Cartlidge, Rade Serbedzija, Grégoire Colin,
Before Sunrise,R,Richard Linklater,English,United States,tt0112471,5535405.0,81.0,100.0,77.0,Ethan Hawke, Julie Delpy, Andrea Eckert,
Billy Madison,PG-13,Tamra Davis,English,United States,tt0112508,25588734.0,63.0,41.0,16.0,Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras,
