imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3,Awards,Nominations,Adj_Box_Office,Log_Box_Office,Genre,Sub_Genre
tt0397044,Blood and Chocolate,2007,1,3526847.0,53.0,11.0,33.0,54.88,PG-13,Katja von Garnier,English,United States,98.0,Agnes Bruckner, Hugh Dancy, Olivier Martinez,Drama,Sci-Fi/Fantasy,Thriller/Horror,0.0,0.0,4609146.876127365,15.343553338438843,Drama,Sci-Fi/Fantasy
tt0799949,Epic Movie,2007,1,39739367.0,24.0,2.0,17.0,39.22,PG-13,"Jason Friedberg, Aaron Seltzer",English,United States,85.0,Kal Penn, Jennifer Coolidge, Fred Willard,Comedy,Action/Adventure,Action/Adventure,0.0,0.0,51934370.63397672,17.76549137622994,Comedy,Action/Adventure
tt0425430,The Messengers,2007,2,35374833.0,53.0,11.0,34.0,56.99,PG-13,"Danny Pang, Oxide Chun Pang",English,United States,90.0,Dylan McDermott, Penelope Ann Miller, Kristen Stewart,Thriller/Horror,Thriller/Horror,Thriller/Horror,0.0,0.0,46230471.86778366,17.649149702872812,Thriller/Horror,Thriller/Horror
tt0490084,Because I Said So,2007,2,42674040.0,55.0,4.0,26.0,59.33,PG-13,Michael Lehmann,English,United States,102.0,Diane Keaton, Mandy Moore, Gabriel Macht,Romance,Comedy,Unknown,0.0,0.0,55769620.33162601,17.836739840589757,Comedy,Romance
tt0367959,Hannibal Rising,2007,2,27670986.0,61.0,16.0,35.0,62.33,R,Peter Webber,English,Czech Republic,121.0,Gaspard Ulliel, Rhys Ifans, Gong Li,Drama,Drama,Thriller/Horror,0.0,0.0,36162509.65274764,17.403533495193493,Drama,Drama
tt0477051,Norbit,2007,2,95673607.0,41.0,9.0,27.0,55.81,PG-13,Brian Robbins,English,United States,102.0,Eddie Murphy, Thandiwe Newton, Terry Crews,Comedy,Unknown,Unknown,0.0,0.0,125033409.96416548,18.64409153926704,Comedy,Unknown
tt0382932,Ratatouille,2007,6,206445654.0,81.0,96.0,96.0,77.92,G,"Brad Bird, Jan Pinkava",English,United States,111.0,Brad Garrett, Lou Romano, Patton Oswalt,Family,Comedy,Family,1.0,5.0,269798588.1508812,19.41318626877717,Comedy,Family
tt0469263,The Astronaut Farmer,2006,10,11003643.0,63.0,58.0,55.0,62.01,PG,Michael Polish,English,United States,104.0,Billy Bob Thornton, Virginia Madsen, Bruce Dern,Sci-Fi/Fantasy,Action/Adventure,Comedy,0.0,0.0,14789965.990625003,16.50945953519989,Comedy,Sci-Fi/Fantasy
tt0259324,Ghost Rider,2007,1,115802596.0,52.0,27.0,35.0,55.27,PG-13,Mark Steven Johnson,English,United States,114.0,Nicolas Cage, Eva Mendes, Sam Elliott,Thriller/Horror,Action/Adventure,Sci-Fi/Fantasy,0.0,0.0,151339475.06110677,18.83503605061823,Action/Adventure,Thriller/Horror
tt0401997,Breach,2007,2,33231264.0,70.0,84.0,74.0,66.03,PG-13,Billy Ray,English,United States,110.0,Chris Cooper, Ryan Phillippe, Dennis Haysbert,Drama,Thriller/Horror,Crime,0.0,0.0,43429095.91920596,17.586640187329234,Drama,Thriller/Horror
tt0778661,Daddy's Little Girls,2007,2,31366978.0,58.0,26.0,49.0,69.80000000000001,PG-13,Tyler Perry,English,United States,100.0,Gabrielle Union, Idris Elba, Tracee Ellis Ross,Comedy,Drama,Romance,0.0,0.0,40992707.83854695,17.528904751253627,Comedy,Drama
tt0758766,Music and Lyrics,2007,2,50572589.0,65.0,63.0,59.0,63.99,PG-13,Marc Lawrence,English,United States,105.0,Hugh Grant, Drew Barrymore, Scott Porter,Comedy,Music,Romance,0.0,0.0,66092033.6513104,18.006558777911494,Comedy,Music
tt0481369,The Number 23,2007,2,35193167.0,64.0,7.0,64.2,64.2,R,Joel Schumacher,English,United States,101.0,Jim Carrey, Virginia Madsen, Logan Lerman,Thriller/Horror,Drama,Mystery,0.0,0.0,45993057.18084132,17.644001012210886,Drama,Thriller/Horror
tt0499554,Reno 911!: Miami,2007,2,20342161.0,59.0,34.0,47.0,57.830000000000005,R,Robert Ben Garant,English,United States,84.0,Thomas Lennon, Robert Ben Garant, Kerri Kenney,Action/Adventure,Comedy,Crime,0.0,0.0,26584654.176047307,17.095844696600018,Action/Adventure,Comedy
tt0425112,Hot Fuzz,2007,2,23637265.0,78.0,91.0,81.0,75.0,R,Edgar Wright,English,United Kingdom,121.0,Simon Pegg, Nick Frost, Martin Freeman,Action/Adventure,Action/Adventure,Comedy,0.0,0.0,30890942.00427313,17.245973559874045,Action/Adventure,Action/Adventure
tt0435705,Next,2007,4,18211013.0,62.0,28.0,42.0,60.25,PG-13,Lee Tamahori,English,United States,96.0,Nicolas Cage, Julianne Moore, Jessica Biel,Action/Adventure,Sci-Fi/Fantasy,Thriller/Horror,0.0,0.0,23799510.91727677,16.9851755887363,Action/Adventure,Sci-Fi/Fantasy
tt0443706,Zodiac,2007,3,33080084.0,77.0,90.0,78.0,75.0,R,David Fincher,English,United States,157.0,Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Drama,Drama,Mystery,0.0,0.0,43231522.61230239,17.582080477219545,Drama,Drama
tt0486946,Wild Hogs,2007,3,168273550.0,58.0,14.0,27.0,59.42999999999999,PG-13,Walt Becker,English,United States,100.0,Tim Allen, Martin Lawrence, John Travolta,Action/Adventure,Action/Adventure,Comedy,0.0,0.0,219912433.77366865,19.20873999678084,Action/Adventure,Action/Adventure
tt0416449,300,2007,3,210614939.0,76.0,61.0,52.0,71.68,R,Zack Snyder,English,United States,117.0,Gerard Butler, Lena Headey, David Wenham,Action/Adventure,Action/Adventure,War,0.0,0.0,275247320.95200205,19.43318060037529,Action/Adventure,Action/Adventure
tt0768212,The Last Mimzy,2007,2,21471047.0,62.0,55.0,59.0,62.86,PG,Robert Shaye,English,United States,94.0,Joely Richardson, Rainn Wilson, Timothy Hutton,Drama,Sci-Fi/Fantasy,Action/Adventure,0.0,0.0,28059966.652149588,17.1498544441899,Drama,Sci-Fi/Fantasy
tt0416508,Becoming Jane,2007,3,18670946.0,70.0,58.0,55.0,73.15,PG,Julian Jarrold,English,United Kingdom,120.0,Anne Hathaway, James McAvoy, Julie Walters,Romance,Drama,Unknown,0.0,0.0,24400585.68751145,17.010117693561885,Drama,Romance
tt0770772,I Think I Love My Wife,2007,3,12550605.0,55.0,53.57,49.0,53.57,R,Chris Rock,English,United States,90.0,Chris Rock, Kerry Washington, Gina Torres,Comedy,Romance,Unknown,0.0,0.0,16402067.293891251,16.61291793935579,Comedy,Romance
tt0477071,Premonition,2007,2,47852604.0,59.0,8.0,29.0,62.58,PG-13,Mennan Yapo,English,United States,96.0,Sandra Bullock, Julian McMahon, Amber Valletta,Thriller/Horror,Drama,Mystery,0.0,0.0,62537354.25470961,17.95127460424955,Drama,Thriller/Horror
tt0455760,Dead Silence,2007,3,16809076.0,61.0,20.0,34.0,64.23,R,James Wan,English,United States,89.0,Ryan Kwanten, Amber Valletta, Donnie Wahlberg,Thriller/Horror,Unknown,Unknown,0.0,0.0,21967355.015963964,16.905068046397,Thriller/Horror,Unknown
