original_title,imdb_id,release_date,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,Year,Month
Сталинград,tt1966566,2013-10-09,68129518,131,65.0,ru,War,Action,Drama,,,,,,,2013,10
Scarecrow,tt2071571,2013-10-05,0,85,44.0,en,Horror,Science Fiction,,,,,,,,2013,10
Small Time,tt2310109,2014-04-18,0,95,55.0,en,Drama,Comedy,,,,,,,,2014,04
Tommy and the Cool Mule,tt1273228,2009-05-26,0,0,35.0,en,Family,,,,,,,,,2009,05
Dante's Inferno,tt0479008,2007-01-01,0,88,63.419999999999995,en,Animation,Comedy,,,,,,,,2007,01
Death in Love,tt1079980,2008-07-17,0,97,52.28,en,Drama,Romance,War,,,,,,,2008,07
Dirty Little Trick,tt1667417,2011-11-08,0,99,60.910000000000004,en,Thriller,,,,,,,,,2011,11
Dark Fields,tt1212023,2009-10-25,0,110,36.0,en,Horror,,,,,,,,,2009,10
Dark Hearts,tt1954364,2014-04-29,0,84,36.0,en,Thriller,Drama,,,,,,,,2014,04
Dark House,tt1385543,2014-03-14,0,102,49.68,en,Horror,Thriller,,,,,,,,2014,03
Freier Fall,tt2617828,2013-05-27,0,100,76.94,de,Drama,Romance,,,,,,,,2013,05
Advanced Style,tt3268030,2014-05-09,0,75,70.0,en,Documentary,,,,,,,,,2014,05
Død Snø 2,tt2832470,2014-02-12,37473,100,65.48,no,Horror,Action,Comedy,,,,,,,2014,02
Dawn Rider,tt2014202,2012-05-29,0,94,56.0,en,Action,Western,,,,,,,,2012,05
Dead Hooker in a Trunk,tt1508661,2009-04-20,0,92,51.0,en,Horror,,,,,,,,,2009,04
Elle: A Modern Cinderella Tale,tt1436372,2010-04-26,0,90,52.0,en,Fantasy,Drama,Science Fiction,Family,,,,,,2010,04
Обитаемый остров: Схватка,tt1399952,2009-04-23,5873871,99,51.63,ru,Action,Fantasy,Science Fiction,,,,,,,2009,04
Stromberg - Der Film,tt3010660,2014-02-20,0,123,68.85,de,Comedy,,,,,,,,,2014,02
那些年，我們一起追的女孩,tt2036416,2011-08-19,0,105,73.91,zh,Romance,Comedy,,,,,,,,2011,08
Hamilton - I nationens intresse,tt1856014,2012-03-02,8249053,109,60.0,sv,Thriller,Action,Drama,,,,,,,2012,03
Labrador,tt1890445,2011-05-13,0,73,60.0,da,Drama,,,,,,,,,2011,05
Dead of the Nite,tt1975146,2013-04-03,0,89,35.0,en,Horror,,,,,,,,,2013,04
Dead Tone,tt0462160,2007-05-16,0,100,45.57000000000001,en,Horror,Thriller,,,,,,,,2007,05
DeadHeads,tt1273207,2011-04-29,0,95,50.98,en,Adventure,Comedy,Horror,,,,,,,2011,04
不能說的秘密,tt1037850,2007-07-27,0,101,76.16,zh,Fantasy,Drama,Thriller,,,,,,,2007,07
賽德克‧巴萊：太陽旗,tt2007993,2011-09-09,29000000,144,72.0,zh,Drama,Action,History,,,,,,,2011,09
Deadline,tt1430811,2012-02-15,0,95,56.0,en,Drama,Mystery,Thriller,,,,,,,2012,02
Death Racers,tt1261046,2008-09-28,0,90,27.5,en,Action,Adventure,Comedy,Science Fiction,Thriller,,,,,2008,09
Death Warrior,tt1144797,2009-11-27,0,90,30.419999999999998,en,Action,Thriller,,,,,,,,2009,11
Fri os fra det onde,tt1272012,2009-04-03,0,100,59.53,da,Thriller,,,,,,,,,2009,04
Last Passenger,tt1858481,2013-10-18,0,96,56.0,en,Action,Thriller,Mystery,,,,,,,2013,10
"Fat, Sick & Nearly Dead 2",tt3701804,2014-09-18,0,89,61.0,en,Documentary,,,,,,,,,2014,09
Serena,tt1247690,2014-10-12,5092129,102,56.120000000000005,en,Drama,,,,,,,,,2014,10
The Imitation Game,tt2084970,2014-11-14,233555708,113,80.1,en,History,Drama,Thriller,War,,,,,,2014,11
Inherent Vice,tt1791528,2014-12-12,14710975,149,65.71,en,Drama,Mystery,Comedy,,,,,,,2014,12
Im Labyrinth des Schweigens,tt3825638,2014-09-06,4574756,122,72.0,de,Drama,History,,,,,,,,2014,09
孔子,tt1397498,2010-02-11,0,125,61.0,zh,Drama,History,,,,,,,,2010,02
Babysitting,tt3013602,2014-04-16,20258904,85,68.13,fr,Comedy,,,,,,,,,2014,04
Rudderless,tt1798243,2014-10-17,58293,105,72.19,en,Music,Drama,Comedy,,,,,,,2014,10
Jackboots on Whitehall,tt0915463,2010-10-08,20776,87,51.0,en,War,Animation,Comedy,,,,,,,2010,10
Likainen pommi,tt1937226,2011-09-23,0,83,39.17,fi,Comedy,,,,,,,,,2011,09
The Hunger Games: Mockingjay - Part 1,tt1951265,2014-11-19,755356711,123,67.96000000000001,en,Science Fiction,Adventure,Thriller,,,,,,,2014,11
"Give 'em Hell, Malone",tt1258137,2009-01-01,0,96,58.449999999999996,en,Crime,Action,Thriller,,,,,,,2009,01
גט: המשפט של ויויאן אמסלם,tt3062880,2014-06-25,0,115,75.1,he,Drama,,,,,,,,,2014,06
Rosewater,tt2752688,2014-11-07,0,103,66.0,en,Drama,,,,,,,,,2014,11
Freak Out!,tt3453844,2014-01-25,0,89,45.0,en,Documentary,,,,,,,,,2014,01
Valley Uprising,tt3784160,2014-09-01,0,99,78.0,en,Adventure,Documentary,History,,,,,,,2014,09
United States of Secrets (Part One): The Program,tt3575800,2014-05-13,0,114,85.0,en,Documentary,History,Crime,,,,,,,2014,05
Sex Ed,tt2751310,2014-11-07,0,90,53.33,en,Romance,Comedy,,,,,,,,2014,11
A Good Marriage,tt2180994,2014-10-03,0,103,53.32,en,Thriller,,,,,,,,,2014,10
Hoje Eu Quero Voltar Sozinho,tt1702014,2014-03-28,0,96,79.9,pt,Drama,Romance,,,,,,,,2014,03
Love and Honor,tt1976989,2013-03-22,19684,92,60.99,en,Drama,Romance,,,,,,,,2013,03
Remember Sunday,tt2770480,2013-04-21,0,96,71.0,en,TV Movie,Romance,Drama,,,,,,,2013,04
La Cage Dorée,tt2261749,2013-04-19,11311521,90,67.82,fr,Comedy,,,,,,,,,2013,04
Exodus: Gods and Kings,tt1528100,2014-12-03,268031828,150,58.28,en,Adventure,Drama,Action,,,,,,,2014,12
Darfur,tt1236471,2009-11-06,0,98,63.099999999999994,en,War,Thriller,Drama,Action,,,,,,2009,11
Max Schmeling,tt1361828,2010-10-07,0,118,54.12,de,Action,Drama,,,,,,,,2010,10
Trash,tt1921149,2014-10-09,0,112,71.28999999999999,pt,Adventure,Crime,Drama,Thriller,,,,,,2014,10
Relatos salvajes,tt3011894,2014-08-21,27007072,122,78.53,es,Drama,Thriller,Comedy,,,,,,,2014,08
河童のクゥと夏休み,tt1179773,2007-07-28,0,138,77.19,ja,Animation,Comedy,Romance,,,,,,,2007,07
Ambition,tt4127138,2014-10-24,0,6,68.0,en,Science Fiction,History,Mystery,,,,,,,2014,10
Head Over Heels,tt2391009,2012-05-24,0,10,68.61,en,Family,Animation,Comedy,Romance,,,,,,2012,05
サカサマのパテマ,tt2981768,2013-11-09,0,98,73.51,ja,Animation,Adventure,Drama,Fantasy,Science Fiction,,,,,2013,11
Fed Up,tt2381335,2014-05-09,0,95,73.43,en,Documentary,,,,,,,,,2014,05
천년여우 여우비,tt1077274,2007-01-25,0,86,63.0,ko,Animation,Family,Fantasy,,,,,,,2007,01
Riley Rewind,tt2944454,2013-12-12,0,50,63.0,en,Fantasy,,,,,,,,,2013,12
Tesis sobre un homicidio,tt2241605,2013-01-17,0,106,63.25,es,Thriller,Drama,,,,,,,,2013,01
Korkoro,tt1495823,2009-08-01,0,111,66.0,fr,Drama,,,,,,,,,2009,08
Whole Lotta Sole,tt1545328,2011-04-21,0,94,55.0,en,Comedy,Drama,,,,,,,,2011,04
Bo Burnham: What.,tt3210258,2013-12-17,0,60,78.82,en,Comedy,,,,,,,,,2013,12
Magic Camp,tt1525580,2012-04-28,0,85,65.0,en,Documentary,Family,,,,,,,,2012,04
Återträffen,tt2402091,2013-11-15,0,88,69.1,sv,Drama,,,,,,,,,2013,11
Paths of Hate,tt1787092,2011-03-27,0,10,72.0,en,Action,Animation,,,,,,,,2011,03
Dumb and Dumber To,tt2096672,2014-11-12,169837010,110,55.4,en,Comedy,,,,,,,,,2014,11
The Legend of Sarila,tt2296935,2013-02-21,901596,80,48.0,en,Family,Animation,Adventure,,,,,,,2013,02
Imago mortis,tt1054112,2009-01-15,0,96,44.400000000000006,en,Horror,,,,,,,,,2009,01
The Longest Week,tt2064968,2014-09-05,46460,86,50.540000000000006,en,Comedy,Drama,,,,,,,,2014,09
Tales of the Grim Sleeper,tt3904186,2014-08-29,0,105,65.98,en,Crime,Documentary,,,,,,,,2014,08
The Yes Men Are Revolting,tt2531282,2014-09-04,0,90,71.39999999999999,en,Documentary,,,,,,,,,2014,09
God is the Bigger Elvis,tt2210633,2012-04-01,0,37,61.0,en,Documentary,,,,,,,,,2012,04
The Wicker Tree,tt0323808,2011-08-27,0,96,39.0,en,Mystery,Horror,Thriller,,,,,,,2011,08
The Green,tt1720263,2011-11-22,0,90,57.39,en,Drama,,,,,,,,,2011,11
The Damned,tt2387408,2013-10-17,5758519,87,55.480000000000004,en,Thriller,Horror,Mystery,,,,,,,2013,10
Miss Meadows,tt3128900,2014-09-12,0,88,56.5,en,Drama,,,,,,,,,2014,09
Too Many Cooks,tt3534838,2014-10-27,0,11,78.72,en,Comedy,Horror,Crime,TV Movie,,,,,,2014,10
Repentance,tt2012665,2014-02-28,1189612,90,49.230000000000004,en,Horror,Thriller,,,,,,,,2014,02
Une rencontre,tt2760634,2014-04-23,0,82,57.599999999999994,fr,Drama,Romance,,,,,,,,2014,04
Cass,tt0954981,2008-01-08,0,108,59.33,en,Crime,Drama,,,,,,,,2008,01
Dorothy Mills,tt1034306,2008-08-06,0,102,61.11,en,Drama,Thriller,Mystery,Horror,,,,,,2008,08
Dear White People,tt2235108,2014-10-17,0,108,62.38,en,Drama,Romance,,,,,,,,2014,10
Mannen som elsket Yngve,tt1114723,2008-02-15,0,90,65.45,no,Drama,,,,,,,,,2008,02
Camino,tt1206285,2008-10-16,0,143,74.16,es,Drama,,,,,,,,,2008,10
画皮,tt1055300,2008-09-25,0,103,58.0,zh,Fantasy,Action,Drama,Thriller,,,,,,2008,09
One Chance,tt1196956,2013-09-09,10900434,103,66.74000000000001,en,Drama,Comedy,Music,,,,,,,2013,09
Rent: Filmed Live on Broadway,tt1273675,2008-11-21,0,165,83.11999999999999,en,Drama,Romance,TV Movie,,,,,,,2008,11
Columbus Day,tt1015976,2008-08-29,0,90,52.0,en,Crime,Drama,Thriller,,,,,,,2008,08
江山美人,tt1186803,2008-02-09,9323473,99,60.0,zh,Action,Adventure,History,,,,,,,2008,02
See You in September,tt1073246,2010-01-01,0,91,45.0,en,Comedy,Romance,,,,,,,,2010,01
Lucky Them,tt1885299,2013-09-06,0,96,61.0,en,Drama,,,,,,,,,2013,09
दिल बोले हडिप्पा!,tt1202540,2009-09-18,0,148,54.53,hi,Romance,Comedy,Drama,,,,,,,2009,09
Last Weekend,tt2435458,2014-08-29,0,94,42.65,en,Drama,Comedy,,,,,,,,2014,08
May in the Summer,tt2492664,2014-05-07,0,100,61.0,en,Drama,Comedy,,,,,,,,2014,05
"Nono, the Zigzag Kid",tt1441083,2012-10-03,75544,95,69.0,nl,Family,Adventure,Drama,,,,,,,2012,10
Tip Top,tt2403981,2013-09-11,0,106,42.0,fr,Comedy,Thriller,,,,,,,,2013,09
October Gale,tt2691734,2014-09-11,0,91,49.0,en,Thriller,Drama,Romance,,,,,,,2014,09
Musicwood,tt2078686,2012-11-13,0,80,0.0,en,Documentary,,,,,,,,,2012,11
Liar's Dice,tt2343621,2013-10-05,0,104,62.67,hi,Drama,,,,,,,,,2013,10
How Do You Write a Joe Schermann Song,tt1690140,2012-07-13,0,104,0.0,en,,,,,,,,,,2012,07
Calloused Hands,tt2319797,2013-03-03,0,100,85.0,en,,,,,,,,,,2013,03
BFFs,tt2375278,2014-01-31,0,90,50.0,en,Comedy,,,,,,,,,2014,01
Winter in the Blood,tt1829057,2013-06-14,0,98,60.0,en,,,,,,,,,,2013,06
The Theory of Everything,tt2980516,2014-11-26,123726688,123,78.66,en,Drama,Romance,,,,,,,,2014,11
Amira & Sam,tt3139538,2014-05-30,0,90,59.82,en,Drama,Romance,Comedy,,,,,,,2014,05
Love Sick Love,tt1992147,2012-11-15,0,83,48.0,en,Thriller,,,,,,,,,2012,11
Double Tide,tt1757733,2009-10-21,0,99,77.0,en,,,,,,,,,,2009,10
Aanrijding in Moscou,tt0948530,2008-01-30,1500000,102,66.58,nl,Romance,Drama,Comedy,,,,,,,2008,01
Dolphin Tale 2,tt2978462,2014-09-11,52424533,107,70.0,en,Family,Drama,,,,,,,,2014,09
Demoted,tt1221207,2011-03-12,0,94,49.58,en,Comedy,,,,,,,,,2011,03
Deranged,tt2071445,2012-06-06,0,78,40.0,en,Horror,,,,,,,,,2012,06
When the Game Stands Tall,tt2247476,2014-08-22,30127963,115,66.41,en,Drama,,,,,,,,,2014,08
आशिकी २,tt2203308,2013-04-26,16000000,132,69.92,hi,Drama,Romance,,,,,,,,2013,04
ABCs of Death 2,tt2926810,2014-10-02,7171,125,54.57,en,Horror,,,,,,,,,2014,10
Neurons to Nirvana,tt2195566,2013-10-19,0,69,68.42,en,Documentary,,,,,,,,,2013,10
The Flyboys,tt0357668,2008-08-15,0,118,76.50999999999999,en,Adventure,Action,,,,,,,,2008,08
The Last Word,tt0876233,2008-04-20,0,90,59.85,en,Drama,Romance,,,,,,,,2008,04
Dream Boy,tt0889595,2008-10-24,0,88,61.91,en,Drama,Romance,,,,,,,,2008,10
TBS,tt1092019,2008-01-31,0,90,65.31,nl,Thriller,Crime,,,,,,,,2008,01
Blå mænd,tt1110209,2008-08-15,0,80,67.0,da,Comedy,,,,,,,,,2008,08
Les invincibles,tt2207090,2013-09-18,0,98,51.33,fr,Comedy,,,,,,,,,2013,09
La Marque des anges - Miserere,tt2354215,2013-06-26,0,106,60.21,fr,Thriller,,,,,,,,,2013,06
Les reines du ring,tt2330546,2013-07-02,0,97,58.83,fr,Comedy,,,,,,,,,2013,07
Une nouvelle amie,tt3184934,2014-10-11,0,105,60.82,fr,Drama,,,,,,,,,2014,10
Tu veux... ou tu veux pas?,tt2978426,2014-10-01,0,88,52.809999999999995,fr,Comedy,Romance,,,,,,,,2014,10
Red Mist,tt1185264,2008-08-22,0,98,51.379999999999995,en,Thriller,Horror,,,,,,,,2008,08
On a marché sur Bangkok,tt3985434,2014-10-22,0,93,51.0,fr,Adventure,Comedy,,,,,,,,2014,10
Real Time,tt0983909,2008-11-07,0,80,70.0,en,Comedy,Drama,,,,,,,,2008,11
Gåten Ragnarok,tt2363213,2013-01-01,3721345,120,56.64,no,Action,Adventure,,,,,,,,2013,01
Secret Défense,tt1003052,2008-12-10,0,100,57.190000000000005,fr,Thriller,,,,,,,,,2008,12
Farm House,tt0996934,2008-01-01,0,92,53.239999999999995,en,Horror,Thriller,Mystery,,,,,,,2008,01
Manolete,tt0491046,2008-09-06,0,92,58.4,es,Drama,Romance,,,,,,,,2008,09
Valami Amerika 2.,tt1235075,2008-12-18,0,110,63.0,hu,Comedy,,,,,,,,,2008,12
Parasomnia,tt0922547,2008-10-17,0,103,49.0,en,Horror,Thriller,,,,,,,,2008,10
Fast Track: No Limits,tt1043635,2008-02-21,1190456,96,60.480000000000004,en,Action,Thriller,,,,,,,,2008,02
20世紀少年 －第1章－ 終わりの始まり,tt1155705,2008-08-19,31244858,142,67.53,ja,Science Fiction,Adventure,Mystery,,,,,,,2008,08
Stiletto,tt1027747,2008-04-29,0,118,47.86,en,Action,Crime,Thriller,,,,,,,2008,04
非诚勿扰,tt1330607,2008-12-22,0,130,64.41,zh,Drama,Comedy,Romance,,,,,,,2008,12
Virunga,tt3455224,2014-11-07,0,90,79.89,en,Documentary,War,,,,,,,,2014,11
Sick Girl,tt1078931,2007-10-01,0,83,49.0,en,Thriller,Horror,Crime,,,,,,,2007,10
V/H/S: Viral,tt3704538,2014-10-23,2756,81,49.0,en,Horror,Thriller,,,,,,,,2014,10
Running from Crazy,tt2451742,2013-01-20,0,105,60.0,en,Documentary,,,,,,,,,2013,01
Happiness,tt3458776,2014-01-17,0,80,66.67,en,Documentary,,,,,,,,,2014,01
Das Haus der Krokodile,tt2113644,2012-03-22,0,83,64.0,de,Adventure,Family,Mystery,,,,,,,2012,03
The Boy Who Cried Werewolf,tt1451423,2010-10-22,0,97,64.7,en,Family,Fantasy,TV Movie,Comedy,,,,,,2010,10
Mr. Hockey: The Gordie Howe Story,tt0883391,2013-04-28,0,88,78.75,en,Drama,,,,,,,,,2013,04
The Heart Machine,tt3115712,2014-10-24,0,85,55.0,en,Drama,Thriller,,,,,,,,2014,10
Starry Eyes,tt2793490,2014-07-29,0,98,60.12,en,Horror,Drama,,,,,,,,2014,07
思い出のマーニー,tt3398268,2014-07-19,34949567,103,79.89,ja,Animation,Drama,Family,,,,,,,2014,07
ルパン三世,tt0862748,2014-08-30,22300000,133,60.0,ja,Action,Adventure,Comedy,,,,,,,2014,08
西遊記之大鬧天宮,tt1717715,2014-01-09,0,119,55.910000000000004,zh,Action,Adventure,Family,,,,,,,2014,01
Song of the Sea,tt1865505,2014-09-06,857522,93,80.15,en,Family,Animation,Fantasy,,,,,,,2014,09
楽園追放,tt2859246,2014-11-15,0,104,64.0,ja,Action,Animation,Science Fiction,,,,,,,2014,11
魔女の宅急便,tt2865558,2014-03-01,0,108,66.14,ja,Adventure,Comedy,Fantasy,Mystery,,,,,,2014,03
Exit,tt1814701,2011-08-04,0,90,41.0,en,Drama,,,,,,,,,2011,08
Une Histoire d'amour,tt2256741,2013-01-07,0,80,48.0,fr,Drama,,,,,,,,,2013,01
Maaginen kristalli,tt0986361,2011-11-18,0,80,51.82000000000001,fi,Animation,Adventure,Family,,,,,,,2011,11
Beyond the Lights,tt3125324,2014-11-14,14618727,116,69.48,en,Romance,Drama,,,,,,,,2014,11
Paulette,tt2215395,2012-10-04,29494,87,64.57,fr,Crime,Comedy,,,,,,,,2012,10
In the Heart of the Sea,tt1390411,2015-11-20,93920758,122,67.45,en,Thriller,Drama,Adventure,Action,History,,,,,2015,11
Les Tuche,tt1793931,2011-06-30,0,95,60.06999999999999,fr,Comedy,,,,,,,,,2011,06
Comme les 5 doigts de la main,tt1558741,2010-04-28,0,117,61.0,fr,Crime,,,,,,,,,2010,04
冰封俠：重生之門,tt2557256,2014-04-17,26033917,104,56.0,cn,Adventure,Action,Science Fiction,Comedy,Fantasy,,,,,2014,04
Stockholm Stories,tt2494834,2013-10-12,0,97,65.0,sv,Drama,,,,,,,,,2013,10
Pressed,tt1716759,2011-02-18,0,105,49.0,en,Crime,Thriller,,,,,,,,2011,02
A Promise,tt2191082,2013-09-04,0,94,57.08,en,Drama,Romance,,,,,,,,2013,09
फँड्री,tt2827320,2013-10-09,0,105,68.75,mr,Drama,Family,,,,,,,,2013,10
City Slacker,tt1739298,2012-10-04,0,90,68.0,en,Romance,,,,,,,,,2012,10
Hello Ladies: The Movie,tt12944538,2014-11-22,0,85,65.19,en,Comedy,TV Movie,,,,,,,,2014,11
Britain's Greatest Codebreaker,tt2119396,2012-10-17,0,84,61.0,en,Documentary,Drama,History,,,,,,,2012,10
Listen Up Philip,tt3093546,2014-05-07,200126,109,58.43,en,Comedy,Drama,,,,,,,,2014,05
夏日乐悠悠,tt2062580,2011-10-13,0,91,69.0,zh,Romance,Comedy,,,,,,,,2011,10
Ain't in It for My Health: A Film About Levon Helm,tt1362518,2010-11-24,0,83,63.0,en,Documentary,Music,,,,,,,,2010,11
Jurassic World,tt0369610,2015-06-06,1671713208,124,66.76,en,Action,Adventure,Science Fiction,Thriller,,,,,,2015,06
Watermark,tt3106868,2013-10-11,0,92,70.0,en,Documentary,,,,,,,,,2013,10
Citizenfour,tt4044364,2014-10-10,3003169,114,77.56,en,Documentary,,,,,,,,,2014,10
Dans la peau d'une grande,tt1967481,2011-10-27,0,92,57.0,fr,Comedy,TV Movie,,,,,,,,2011,10
David et Madame Hansen,tt1921068,2012-08-29,0,89,57.88,fr,Comedy,Drama,,,,,,,,2012,08
Pop Redemption,tt2602664,2013-06-05,0,0,58.949999999999996,fr,Comedy,,,,,,,,,2013,06
Home Sweet Home,tt1168639,2008-11-19,0,100,50.0,fr,Comedy,,,,,,,,,2008,11
LOL (Laughing Out Loud),tt1194616,2009-02-04,31451622,103,65.08,fr,Comedy,,,,,,,,,2009,02
Astérix: Le domaine des dieux,tt3759416,2014-11-26,42830578,85,68.17999999999999,fr,Animation,Comedy,Adventure,Family,,,,,,2014,11
Apflickorna,tt1827358,2011-01-31,0,84,49.57,sv,Drama,,,,,,,,,2011,01
The Taking of Deborah Logan,tt3387648,2014-10-21,0,90,64.05,en,Horror,Mystery,Thriller,,,,,,,2014,10
House Hunting,tt1608368,2013-03-05,0,102,48.78,en,Mystery,Thriller,,,,,,,,2013,03
Alive Inside,tt2593392,2014-01-18,0,74,74.56,en,Documentary,,,,,,,,,2014,01
Last I Heard,tt1639397,2013-01-01,0,98,51.0,en,Drama,Comedy,,,,,,,,2013,01
Hit by Lightning,tt2402619,2014-10-31,0,89,48.0,en,Romance,Comedy,Crime,,,,,,,2014,10
インシテミル ７日間のデス・ゲーム,tt1586753,2010-10-16,0,107,54.32000000000001,ja,Drama,Horror,Thriller,,,,,,,2010,10
Pumzi,tt1508328,2009-10-20,0,21,66.56,en,Science Fiction,Drama,,,,,,,,2009,10
1½ Ritter - Auf der Suche nach der hinreißenden Herzelinde,tt1187047,2008-12-17,16680689,116,44.0,de,Adventure,Comedy,,,,,,,,2008,12
Christmas Cottage,tt0999872,2008-10-15,0,96,67.0,en,Drama,Romance,Family,,,,,,,2008,10
Viaggio sola,tt2261434,2013-04-24,0,85,57.370000000000005,it,Romance,Drama,,,,,,,,2013,04
O Menino no Espelho,tt2343380,2014-06-19,0,78,60.0,pt,Family,Adventure,Drama,,,,,,,2014,06
내 깡패 같은 애인,tt1672091,2010-05-20,4214668,100,68.64,ko,Romance,Comedy,Drama,,,,,,,2010,05
The 39 Steps,tt1282016,2008-12-28,0,90,60.199999999999996,en,Thriller,Mystery,Adventure,TV Movie,,,,,,2008,12
Horrible Bosses 2,tt2170439,2014-11-26,107670357,108,61.75,en,Comedy,,,,,,,,,2014,11
Detention of the Dead,tt1865346,2012-04-27,0,87,48.58,en,Comedy,Horror,,,,,,,,2012,04
Désengagement,tt0871512,2007-09-07,0,115,54.0,fr,Drama,,,,,,,,,2007,09
Donner Pass,tt1626139,2012-11-15,0,90,41.879999999999995,en,Horror,,,,,,,,,2012,11
Down the Shore,tt1155060,2011-01-06,0,93,54.55,en,Drama,Romance,,,,,,,,2011,01
Dr. Dolittle: Million Dollar Mutts,tt1080926,2009-04-08,0,90,58.3,en,Comedy,Family,Fantasy,,,,,,,2009,04
Dr. Dolittle: Tail to the Chief,tt1024724,2008-03-04,0,85,55.61,en,Comedy,Family,Fantasy,,,,,,,2008,03
Dr. Jekyll and Mr. Hyde,tt1159984,2008-05-17,0,89,47.0,en,Drama,Horror,Science Fiction,Thriller,,,,,,2008,05
Drive Thru,tt0466766,2007-05-29,0,82,49.44,en,Horror,Thriller,Comedy,,,,,,,2007,05
Ecstasy,tt1552221,2011-06-28,0,95,42.0,en,Drama,,,,,,,,,2011,06
El Gringo,tt1990216,2012-05-10,0,98,62.01,en,Adventure,Drama,Action,Thriller,,,,,,2012,05
Elliot Loves,tt0790653,2012-05-04,0,92,60.0,en,Comedy,,,,,,,,,2012,05
Elvis & Anabelle,tt0787462,2007-03-10,0,106,68.76,en,Drama,Romance,,,,,,,,2007,03
Endure,tt1230372,2010-01-01,0,91,74.0,en,Mystery,Thriller,,,,,,,,2010,01
Feed the Fish,tt1354687,2011-01-25,0,92,55.0,en,Comedy,Romance,,,,,,,,2011,01
Lost Christmas,tt1806954,2011-12-11,0,88,65.0,en,Drama,,,,,,,,,2011,12
Enemies Closer,tt2395199,2013-12-04,0,85,53.0,en,Thriller,Action,,,,,,,,2013,12
Barely Legal,tt1912996,2011-07-26,0,89,37.120000000000005,en,Comedy,,,,,,,,,2011,07
Russell Brand: Messiah Complex,tt3397430,2013-11-25,0,99,70.0,en,Comedy,,,,,,,,,2013,11
Tanta agua,tt1826876,2013-02-11,0,102,60.0,es,Drama,,,,,,,,,2013,02
The Collapsed,tt1734122,2011-07-02,0,82,44.0,en,Drama,Horror,Science Fiction,,,,,,,2011,07
사이비,tt3091272,2013-11-21,0,101,62.0,ko,Animation,Drama,,,,,,,,2013,11
Yellow Rock,tt1714176,2011-11-01,0,89,48.0,en,Western,,,,,,,,,2011,11
ಲೂಸಿಯಾ,tt2358592,2013-10-19,170000,136,71.0,kn,Fantasy,Romance,Thriller,,,,,,,2013,10
Majorité Opprimée,tt1684911,2010-10-24,0,11,61.0,fr,Drama,,,,,,,,,2010,10
Penguins of Madagascar,tt1911658,2014-11-22,373552094,92,65.11999999999999,en,Family,Animation,Adventure,Comedy,,,,,,2014,11
Bill Bailey: Qualmpeddler,tt3354900,2013-11-19,0,93,69.0,en,Comedy,,,,,,,,,2013,11
Ivul,tt1429448,2010-01-20,0,100,43.0,fr,Drama,Fantasy,,,,,,,,2010,01
Hotline,tt3213142,2014-04-28,0,82,90.0,en,Documentary,,,,,,,,,2014,04
Fugly!,tt1730760,2014-11-05,0,86,51.0,en,Comedy,,,,,,,,,2014,11
Black or White,tt2883434,2014-09-06,21571189,121,68.0,en,Drama,,,,,,,,,2014,09
Ragamuffin,tt2412568,2014-01-09,0,137,69.0,en,Drama,,,,,,,,,2014,01
'71,tt2614684,2014-10-10,3200000,99,67.72999999999999,en,Thriller,Action,Drama,War,,,,,,2014,10
Bastards,tt2809082,2014-03-15,0,83,55.0,en,Documentary,,,,,,,,,2014,03
The Water Diviner,tt3007512,2014-12-25,15520023,112,67.92,en,War,Drama,,,,,,,,2014,12
Enlighten Up!,tt1306972,2008-01-01,0,82,53.0,en,Documentary,,,,,,,,,2008,01
Le Temps de l'aventure,tt2659190,2013-04-10,0,104,62.0,fr,Drama,Romance,,,,,,,,2013,04
Le Chat du rabbin,tt1355638,2011-05-31,0,100,69.48,fr,Comedy,Animation,,,,,,,,2011,05
Altman,tt2404171,2014-08-01,0,95,65.0,en,Documentary,,,,,,,,,2014,08
Still Alice,tt3316960,2014-12-05,43884652,101,74.95,en,Drama,,,,,,,,,2014,12
Grumpy Cat's Worst Christmas Ever,tt3801438,2014-11-29,0,90,49.290000000000006,en,Comedy,Family,TV Movie,,,,,,,2014,11
Paddington,tt1109624,2014-11-24,259207227,96,71.0,en,Comedy,Adventure,Family,,,,,,,2014,11
Drei Stunden,tt2499818,2013-07-24,0,101,65.0,de,Comedy,Romance,,,,,,,,2013,07
Redemption: For Robbing the Dead,tt1623660,2011-10-16,0,105,40.0,en,Western,,,,,,,,,2011,10
Jessabelle,tt2300975,2014-11-07,23456897,90,54.2,en,Thriller,Horror,,,,,,,,2014,11
Maze Runner: The Scorch Trials,tt4046784,2015-09-09,312296056,131,67.27000000000001,en,Science Fiction,Action,Thriller,Adventure,,,,,,2015,09
Kink,tt2017634,2013-01-19,0,80,53.0,en,Documentary,,,,,,,,,2013,01
Beautiful Girl,tt1031658,2014-11-25,0,90,48.33,en,Drama,,,,,,,,,2014,11
Showrunners: The Art of Running a TV Show,tt1942971,2014-10-17,0,88,62.67,en,Documentary,,,,,,,,,2014,10
Scooby-Doo! Frankencreepy,tt3919322,2014-08-19,0,74,78.04,en,Adventure,Animation,Comedy,Family,Fantasy,Mystery,Science Fiction,,,2014,08
Burt's Buzz,tt3091282,2014-06-06,0,88,66.0,en,Documentary,,,,,,,,,2014,06
