original_title,imdb_id,release_date,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,Year,Month
La Môme,tt0450188,2007-02-14,86274793,140,74.63,fr,Music,Drama,,,,,,,,2007,02
Fracture,tt0488120,2007-04-19,91354215,113,72.78999999999999,en,Thriller,,,,,,,,,2007,04
Vacancy,tt0452702,2007-04-20,35300645,85,62.23,en,Horror,Thriller,,,,,,,,2007,04
In the Land of Women,tt0419843,2007-04-16,17500000,97,58.67,en,Romance,Comedy,Drama,,,,,,,2007,04
Mr. Bean's Holiday,tt0453451,2007-03-22,232225908,90,63.38,en,Family,Comedy,,,,,,,,2007,03
The Invisible,tt0435670,2007-04-27,26810113,102,63.66,en,Fantasy,Thriller,,,,,,,,2007,04
Kickin' It Old Skool,tt0772178,2007-04-27,4692108,108,46.0,en,Comedy,,,,,,,,,2007,04
The Condemned,tt0443473,2007-04-27,8642858,113,60.410000000000004,en,Action,Thriller,,,,,,,,2007,04
Spider-Man 3,tt0413300,2007-05-01,890871626,139,63.739999999999995,en,Fantasy,Action,Adventure,,,,,,,2007,05
Lucky You,tt0338216,2007-05-01,8461686,124,56.150000000000006,en,Drama,Romance,,,,,,,,2007,05
Year of the Dog,tt0756729,2007-04-13,1606237,97,55.0,en,Comedy,Drama,Romance,,,,,,,2007,04
The Ex,tt0458364,2006-12-01,5178640,90,51.19,en,Comedy,Romance,,,,,,,,2006,12
Knocked Up,tt0478311,2007-06-01,219922417,129,62.42,en,Comedy,Romance,Drama,,,,,,,2007,06
Hairspray,tt0427327,2007-07-19,90450008,117,66.61,en,Comedy,Romance,Drama,,,,,,,2007,07
28 Weeks Later,tt0463854,2007-04-26,65048678,100,65.81,en,Horror,Thriller,Science Fiction,,,,,,,2007,04
Georgia Rule,tt0791304,2007-05-10,25000167,113,59.699999999999996,en,Comedy,Drama,Romance,,,,,,,2007,05
