original_title,imdb_id,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,Year,Month
The Odessa File,tt0071935,0,130,66.67,en,Drama,Thriller,,,,,,,,,1974,10
Where the Buffalo Roam,tt0081748,6659377,99,59.379999999999995,en,Comedy,Drama,History,,,,,,,,1980,04
Eye of the Beholder,tt0120662,17589705,109,50.0,en,Mystery,Thriller,,,,,,,,,1999,09
The Big Tease,tt0156639,0,87,58.89,en,Comedy,,,,,,,,,,1999,01
Phörpa,tt0201840,0,93,63.129999999999995,bo,Comedy,,,,,,,,,,1999,08
Encino Man,tt0104187,40693477,88,58.16,en,Comedy,,,,,,,,,,1992,05
The Goodbye Girl,tt0076095,102000000,111,70.35,en,Comedy,Drama,Romance,,,,,,,,1977,11
Malcolm X,tt0104797,48169908,202,75.24,en,Drama,History,,,,,,,,,1992,11
Sister Act,tt0105417,231605150,100,68.22,en,Music,Comedy,,,,,,,,,1992,05
Sister Act 2: Back in the Habit,tt0108147,57319029,107,63.75,en,Music,Comedy,,,,,,,,,1993,12
The Hand that Rocks the Cradle,tt0104389,88036683,110,68.58,en,Drama,Thriller,,,,,,,,,1992,01
Alive,tt0106246,36733909,127,68.76,en,Adventure,Drama,Thriller,,,,,,,,1993,01
Agnes of God,tt0088683,0,98,62.0,en,Drama,Mystery,,,,,,,,,1985,09
Scent of a Woman,tt0105323,134095253,156,77.49,en,Drama,,,,,,,,,,1992,12
Wayne's World,tt0105793,183097323,95,66.97,en,Comedy,Music,,,,,,,,,1992,02
Wayne's World 2,tt0108525,48198019,95,60.99,en,Comedy,Music,,,,,,,,,1993,12
A League of Their Own,tt0104694,132440069,128,71.71000000000001,en,Comedy,Drama,,,,,,,,,1992,07
Patriot Games,tt0105112,178051587,117,67.0,en,Drama,Action,Thriller,Crime,,,,,,,1992,06
The Bodyguard,tt0103855,411006740,129,66.69,en,Thriller,Action,Drama,Music,Romance,,,,,,1992,11
Death Becomes Her,tt0104070,149022650,104,67.56,en,Comedy,Fantasy,Horror,,,,,,,,1992,07
Far and Away,tt0104231,137783840,140,67.16,en,Adventure,Drama,Romance,Western,,,,,,,1992,05
Howards End,tt0104454,26126837,142,70.38,en,Drama,Romance,,,,,,,,,1992,03
Singles,tt0105415,18472850,99,63.57,en,Comedy,Drama,Romance,,,,,,,,1992,09
Twin Peaks: Fire Walk with Me,tt0105665,4184990,135,73.34,en,Drama,Mystery,Horror,,,,,,,,1992,06
White Men Can't Jump,tt0105812,90753806,115,66.28999999999999,en,Comedy,Drama,,,,,,,,,1992,03
Buffy the Vampire Slayer,tt0103893,16624456,86,56.1,en,Action,Comedy,Horror,,,,,,,,1992,07
辣手神探,tt0104684,0,126,76.0,cn,Action,Thriller,Crime,,,,,,,,1992,04
C'est arrivé près de chez vous,tt0103905,205569,96,72.61,fr,Comedy,Crime,,,,,,,,,1992,08
El Mariachi,tt0104815,2040920,81,67.18,es,Action,Crime,Thriller,,,,,,,,1992,09
Stop! Or My Mom Will Shoot,tt0105477,70611210,87,53.05,en,Action,Comedy,,,,,,,,,1992,02
Forever Young,tt0104291,127956187,102,64.48,en,Adventure,Fantasy,Drama,Science Fiction,Romance,,,,,,1992,12
The Cutting Edge,tt0104040,25105517,101,71.71000000000001,en,Romance,Comedy,Drama,,,,,,,,1992,03
Of Mice and Men,tt0105046,5471088,110,72.75,en,Drama,,,,,,,,,,1992,09
Bad Lieutenant,tt0103759,2019469,96,70.55,en,Crime,Drama,,,,,,,,,1992,11
Scream 3,tt0134084,161834276,116,59.51,en,Horror,Mystery,,,,,,,,,2000,02
Single White Female,tt0105414,48017402,107,62.809999999999995,en,Thriller,Drama,,,,,,,,,1992,08
The Boondock Saints,tt0144117,50000000,108,72.51,en,Action,Thriller,Crime,,,,,,,,1999,01
Gun Shy,tt0171356,1631839,101,53.29,en,Action,Comedy,Romance,Thriller,,,,,,,2000,02
The Baby,tt0069754,0,84,60.36,en,Horror,Thriller,,,,,,,,,1973,03
The Brandon Teena Story,tt0144801,0,89,64.38,en,Documentary,,,,,,,,,,1998,09
Minnie and Moskowitz,tt0067433,0,115,67.5,en,Drama,Romance,Comedy,,,,,,,,1971,12
They Might Be Giants,tt0067848,0,98,70.0,en,Comedy,Mystery,Thriller,,,,,,,,1971,06
The Beach,tt0163978,144056873,119,64.55,en,Drama,Adventure,Romance,Thriller,,,,,,,2000,02
Snow Day,tt0184907,62464731,89,50.709999999999994,en,Comedy,Family,Adventure,,,,,,,,2000,02
The Tigger Movie,tt0220099,45554533,77,65.05,en,Family,Animation,Comedy,,,,,,,,2000,02
一个都不能少,tt0209189,0,106,74.05,zh,Drama,,,,,,,,,,1999,12
Eaten Alive,tt0074455,0,91,54.07,en,Horror,Thriller,,,,,,,,,1976,12
Raining Stones,tt0107920,0,90,70.1,en,Comedy,Drama,,,,,,,,,1993,09
"To Sir, with Love",tt0062376,42432803,105,75.24,en,Drama,,,,,,,,,,1967,06
Boiler Room,tt0181984,28780255,118,67.30000000000001,en,Crime,Drama,Thriller,,,,,,,,2000,02
Hanging Up,tt0162983,51880044,94,52.24,en,Drama,Comedy,,,,,,,,,2000,02
Pitch Black,tt0134847,53187659,108,68.31,en,Thriller,Science Fiction,Action,,,,,,,,2000,02
The Whole Nine Yards,tt0190138,106371651,98,64.46,en,Comedy,Crime,,,,,,,,,2000,02
Beautiful People,tt0159272,0,107,59.0,en,War,Comedy,Drama,,,,,,,,1999,09
Black Tar Heroin: The Dark End of the Street,tt0221023,0,75,68.0,en,Documentary,,,,,,,,,,2000,03
The Circus,tt0018773,0,72,80.34,en,Comedy,Romance,,,,,,,,,1928,01
City Lights,tt0021749,4250000,87,83.38,en,Comedy,Drama,Romance,,,,,,,,1931,02
The Flamingo Kid,tt0087265,0,100,61.769999999999996,en,Comedy,Drama,Romance,,,,,,,,1984,12
The Kid,tt0012349,2500000,68,82.12,en,Comedy,Drama,,,,,,,,,1921,01
Class Reunion,tt0084395,0,84,51.879999999999995,en,Comedy,Horror,,,,,,,,,1982,10
Happy Go Lovely,tt0043618,0,97,60.0,en,Music,Romance,Comedy,,,,,,,,1951,03
Reindeer Games,tt0184858,32168970,124,56.379999999999995,en,Thriller,Action,Crime,Drama,,,,,,,2000,02
Wonder Boys,tt0185014,0,111,68.28,en,Comedy,Drama,,,,,,,,,2000,02
Chain of Fools,tt0194368,0,96,56.84,en,Action,Comedy,Crime,,,,,,,,2000,09
Drowning Mona,tt0186045,15427192,96,55.76,en,Comedy,Crime,Mystery,,,,,,,,2000,03
The Next Best Thing,tt0156841,24362772,108,52.0,en,Comedy,Drama,Romance,,,,,,,,2000,03
What Planet Are You From?,tt0181151,0,105,55.08,en,Comedy,Drama,Romance,Science Fiction,,,,,,,2000,03
Beyond the Mat,tt0218043,500000,102,73.78999999999999,en,Documentary,,,,,,,,,,1999,10
Ghost Dog: The Way of the Samurai,tt0165798,9400000,116,73.28,en,Crime,Drama,,,,,,,,,1999,06
The Year My Voice Broke,tt0094347,0,105,72.0,en,Drama,Romance,,,,,,,,,1987,10
Splendor in the Grass,tt0055471,0,124,76.0,en,Drama,Romance,,,,,,,,,1961,10
My Tutor,tt0085980,22587000,97,50.0,en,Comedy,Drama,Romance,,,,,,,,1983,03
Key Largo,tt0040506,0,100,75.32,en,Crime,Drama,Thriller,,,,,,,,1948,07
For All Mankind,tt0097372,770132,80,79.29,en,History,Documentary,,,,,,,,,1989,11
Born Yesterday,tt0042276,0,103,72.0,en,Comedy,Romance,Drama,,,,,,,,1950,12
Birdy,tt0086969,1400000,120,70.97,en,Drama,,,,,,,,,,1984,12
Blood Feast,tt0056875,4000000,67,46.65,en,Horror,,,,,,,,,,1963,07
"Charlie, the Lonesome Cougar",tt0062793,0,75,57.08,en,Adventure,Family,,,,,,,,,1967,10
Never Cry Wolf,tt0086005,0,105,70.25,en,Adventure,Drama,Action,,,,,,,,1983,10
A Raisin in the Sun,tt0055353,0,128,76.97,en,Drama,Romance,,,,,,,,,1961,05
The Closer You Get,tt0218112,0,93,60.0,en,Comedy,,,,,,,,,,2000,12
Mission to Mars,tt0183523,60874615,114,59.81,en,Science Fiction,Thriller,,,,,,,,,2000,03
The Ninth Gate,tt0142688,58401898,133,64.5,en,Mystery,Thriller,Horror,,,,,,,,1999,08
Est-Ouest,tt0181530,6032000,121,68.0,fr,Drama,Romance,,,,,,,,,1999,09
Defending Your Life,tt0101698,0,112,69.16,en,Comedy,Fantasy,Romance,,,,,,,,1991,03
Breaking Away,tt0078902,20000000,100,71.59,en,Drama,Comedy,,,,,,,,,1979,05
Hoosiers,tt0091217,28607524,114,70.95,en,Drama,Family,,,,,,,,,1986,11
Bull Durham,tt0094812,50888000,108,67.0,en,Comedy,Romance,,,,,,,,,1988,06
Dog Day Afternoon,tt0072890,46665856,125,78.19,en,Crime,Drama,Thriller,,,,,,,,1975,08
American Graffiti,tt0069704,140000000,110,70.43,en,Comedy,Drama,,,,,,,,,1973,08
The Asphalt Jungle,tt0042208,0,112,75.0,en,Crime,Drama,,,,,,,,,1950,05
The Searchers,tt0049730,0,119,77.52,en,Western,,,,,,,,,,1956,05
The Big Country,tt0051411,3500000,165,76.5,en,Drama,Western,Romance,,,,,,,,1958,09
Betrayed,tt0094731,0,127,60.69,en,Crime,Drama,Romance,Thriller,,,,,,,1988,08
The Bridge at Remagen,tt0064110,0,117,66.0,en,History,War,Action,,,,,,,,1969,06
Daughters of the Dust,tt0104057,0,112,66.62,en,Drama,Romance,,,,,,,,,1991,01
Der Unhold,tt0118043,0,113,63.53,de,Drama,War,,,,,,,,,1996,09
On the Beach,tt0053137,0,134,66.03,en,Science Fiction,Drama,Romance,,,,,,,,1959,12
The Taking of Pelham One Two Three,tt0072251,0,104,74.31,en,Crime,Action,Thriller,,,,,,,,1974,10
Volunteers,tt0090274,19875740,107,54.84,en,Comedy,,,,,,,,,,1985,08
JFK,tt0102138,205405498,189,76.0,en,Drama,Thriller,History,,,,,,,,1991,12
Who's Harry Crumb?,tt0098645,0,94,57.0,en,Comedy,Crime,Mystery,,,,,,,,1989,02
Harry and the Hendersons,tt0093148,49998613,110,60.15,en,Comedy,Family,Fantasy,,,,,,,,1987,06
Let's Get Harry,tt0091400,0,102,60.0,en,Action,,,,,,,,,,1986,10
Shanghai Surprise,tt0091934,2315683,97,42.809999999999995,en,Adventure,Comedy,Crime,Drama,Romance,,,,,,1986,08
Who's That Girl,tt0094321,7305209,92,56.08,en,Comedy,Romance,,,,,,,,,1987,08
She-Devil,tt0098309,15400000,99,58.81999999999999,en,Comedy,,,,,,,,,,1989,12
Date With an Angel,tt0092834,1988962,105,68.24,en,Comedy,Fantasy,Romance,Science Fiction,,,,,,,1987,11
Blind Date,tt0092666,39321715,95,59.989999999999995,en,Comedy,Romance,,,,,,,,,1987,03
Nadine,tt0093596,5669831,83,53.26,en,Action,Comedy,Romance,,,,,,,,1987,08
The Muppet Movie,tt0079588,65200000,97,71.36,en,Comedy,Adventure,Music,Family,,,,,,,1979,06
The Great Muppet Caper,tt0082474,31200000,95,68.03,en,Family,Crime,Comedy,Mystery,Music,,,,,,1981,06
The Muppets Take Manhattan,tt0087755,25500000,94,64.93,en,Romance,Comedy,Family,,,,,,,,1984,06
We're Back! A Dinosaur's Story,tt0108526,9317021,72,59.989999999999995,en,Animation,Science Fiction,Family,,,,,,,,1993,11
Baby: Secret of the Lost Legend,tt0088760,0,95,53.0,en,Adventure,Fantasy,Action,Family,,,,,,,1985,03
Turtle Diary,tt0090219,0,97,66.67,en,Drama,Comedy,Romance,,,,,,,,1985,12
Raise the Titanic,tt0081400,7000000,115,54.86,en,Adventure,,,,,,,,,,1980,08
Titanic,tt0046435,4905000,98,64.4,en,Drama,Romance,,,,,,,,,1953,04
A Night to Remember,tt0051994,0,123,75.62,en,Drama,Action,History,,,,,,,,1958,07
Captain Horatio Hornblower R.N.,tt0043379,0,117,68.72,en,Action,Adventure,Drama,War,,,,,,,1951,04
Erin Brockovich,tt0195685,256271286,131,74.1,en,Drama,,,,,,,,,,2000,03
Final Destination,tt0195714,112880294,98,65.69,en,Horror,,,,,,,,,,2000,03
Soft Fruit,tt0180181,0,101,20.0,en,Comedy,Drama,,,,,,,,,1999,10
L'Ours,tt0095800,138241022,94,69.86,en,Adventure,Drama,Family,,,,,,,,1988,10
Love Is a Many-Splendored Thing,tt0048316,0,102,61.36,en,Drama,Romance,War,,,,,,,,1955,08
Зеркало,tt0072443,119266,107,80.45,ru,Drama,History,,,,,,,,,1975,03
The Crimson Pirate,tt0044517,0,105,70.37,en,Action,Adventure,Comedy,Drama,,,,,,,1952,08
Thelma & Louise,tt0103074,45361000,130,76.0,en,Drama,Thriller,Crime,Adventure,,,,,,,1991,05
...And Justice for All,tt0078718,33300000,119,70.6,en,Crime,Drama,Thriller,,,,,,,,1979,10
Animal House,tt0077975,141000000,109,70.3,en,Comedy,,,,,,,,,,1978,07
She's Gotta Have It,tt0091939,7137503,84,66.8,en,Comedy,Romance,,,,,,,,,1986,08
School Daze,tt0096054,0,121,59.33,en,Comedy,Drama,Music,,,,,,,,1988,02
Do the Right Thing,tt0097216,37295445,120,77.64999999999999,en,Drama,,,,,,,,,,1989,06
Mo' Better Blues,tt0100168,16153593,129,65.08,en,Drama,Romance,Music,,,,,,,,1990,08
Jungle Fever,tt0102175,32482682,132,64.1,en,Drama,Romance,,,,,,,,,1991,06
The Champ,tt0078950,30441738,121,69.91,en,Drama,Family,,,,,,,,,1979,07
Creature Comforts,tt0099317,0,5,72.0,en,Animation,Comedy,Family,,,,,,,,1989,07
Death Wish,tt0071402,22000000,93,69.34,en,Crime,Drama,Action,,,,,,,,1974,07
Death Wish II,tt0082250,45000000,92,62.0,en,Action,Crime,Drama,,,,,,,,1982,02
Death Wish 3,tt0089003,16116878,92,62.34,en,Action,Crime,Drama,,,,,,,,1985,11
Death Wish 4: The Crackdown,tt0092857,6880310,99,57.28,en,Action,Crime,Drama,,,,,,,,1987,06
Death Wish V: The Face of Death,tt0109578,1702394,95,55.19,en,Action,Crime,Drama,,,,,,,,1994,01
Double Indemnity,tt0036775,2500000,107,81.46000000000001,en,Crime,Drama,Mystery,Thriller,,,,,,,1944,06
Dying Young,tt0101787,82264675,111,66.61,en,Drama,Romance,,,,,,,,,1991,06
Teenage Mutant Ninja Turtles,tt0100758,201965915,93,66.13000000000001,en,Science Fiction,Action,Adventure,Comedy,Family,,,,,,1990,03
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,tt0103060,78656813,88,60.599999999999994,en,Science Fiction,Adventure,Action,Comedy,Family,,,,,,1991,03
Teenage Mutant Ninja Turtles III,tt0108308,42273609,96,54.1,en,Action,Adventure,Comedy,Family,Fantasy,Science Fiction,,,,,1993,03
Red Dawn,tt0087985,38376497,114,63.03,en,Action,Thriller,War,Drama,,,,,,,1984,08
Band of the Hand,tt0090693,4865912,109,65.24,en,Action,Crime,Drama,,,,,,,,1986,04
Bloodsport,tt0092675,65000000,92,70.03,en,Action,Drama,,,,,,,,,1988,02
Eyes of Laura Mars,tt0077530,20000000,104,58.550000000000004,en,Drama,Mystery,Thriller,Horror,,,,,,,1978,08
Funny Bones,tt0113133,0,128,65.22999999999999,en,Comedy,,,,,,,,,,1995,09
The Good Earth,tt0028944,0,139,63.7,en,Drama,History,Romance,,,,,,,,1937,06
"Good Morning, Vietnam",tt0093105,123922370,121,73.36,en,Comedy,Drama,War,,,,,,,,1987,12
The Good Mother,tt0095238,4764606,104,58.0,en,Drama,Romance,,,,,,,,,1988,11
Grumpy Old Men,tt0107050,70200000,103,66.13000000000001,en,Comedy,,,,,,,,,,1993,12
Guess Who's Coming to Dinner,tt0061735,56666667,108,76.0,en,Drama,Comedy,,,,,,,,,1967,12
Romeo Must Die,tt0165929,91036760,115,61.92,en,Action,Crime,Thriller,,,,,,,,2000,03
Here on Earth,tt0195778,10873148,96,60.39,en,Romance,Drama,,,,,,,,,2000,03
Whatever It Takes,tt0202402,9902115,94,59.0,en,Drama,Comedy,Romance,,,,,,,,2000,03
Buddy Boy,tt0146516,0,105,46.0,en,Drama,Thriller,Romance,,,,,,,,1999,09
رنگ خدا,tt0191043,0,90,76.0,fa,Family,Drama,,,,,,,,,1999,02
Gothic,tt0091142,0,84,57.0,en,Horror,Drama,Fantasy,History,,,,,,,1986,11
Lord of the Flies,tt0057261,0,92,67.0,en,Thriller,Adventure,Drama,,,,,,,,1963,08
Modern Times,tt0027977,0,87,83.17,en,Comedy,Drama,,,,,,,,,1936,02
Heart and Souls,tt0107091,16589540,104,69.62,en,Fantasy,Comedy,Romance,,,,,,,,1993,08
Hud,tt0057163,10000000,112,72.92,en,Western,Drama,,,,,,,,,1963,05
The Hustler,tt0054997,7600000,134,77.35000000000001,en,Drama,Romance,,,,,,,,,1961,09
Inherit the Wind,tt0053946,0,128,77.75999999999999,en,Drama,History,,,,,,,,,1960,07
Дерсу Узала,tt0071411,0,141,81.0,ru,Action,Adventure,Drama,,,,,,,,1975,08
Close Encounters of the Third Kind,tt0075860,306889114,137,73.67,en,Science Fiction,Drama,,,,,,,,,1977,11
Jonas qui aura 25 ans en l'an 2000,tt0074718,0,116,73.0,fr,Drama,,,,,,,,,,1976,01
Retroactive,tt0117468,0,91,61.0,en,Science Fiction,Thriller,,,,,,,,,1997,01
A Place in the Sun,tt0043924,7000000,122,74.11,en,Drama,Romance,,,,,,,,,1951,06
Jacob's Ladder,tt0099871,26118851,113,73.77,en,Drama,Mystery,Horror,,,,,,,,1990,11
Empire Records,tt0112950,303,90,66.38,en,Music,Comedy,Drama,,,,,,,,1995,09
La Bamba,tt0093378,54215416,108,72.08,en,Drama,Music,,,,,,,,,1987,07
Ladyhawke,tt0089457,18432000,121,70.28999999999999,en,Adventure,Comedy,Drama,Fantasy,,,,,,,1985,03
Lucas,tt0091445,8200000,108,66.71000000000001,en,Comedy,Drama,Romance,,,,,,,,1986,03
High Fidelity,tt0146882,47126295,113,71.38,en,Comedy,Drama,Romance,Music,,,,,,,2000,03
The Road to El Dorado,tt0138749,76432727,89,72.42,en,Family,Adventure,Animation,Comedy,Fantasy,,,,,,2000,03
The Skulls,tt0192614,50802120,106,57.5,en,Crime,Drama,Thriller,,,,,,,,2000,03
Hook,tt0102057,300855000,142,68.38,en,Adventure,Fantasy,Comedy,Family,,,,,,,1991,04
The Son of the Sheik,tt0017416,0,68,65.0,en,Action,Adventure,Drama,Romance,,,,,,,1926,09
True Grit,tt0065126,31132592,128,74.34,en,Western,,,,,,,,,,1969,06
Madame Sousatzka,tt0095564,0,122,65.0,en,Drama,Music,,,,,,,,,1988,10
Max Dugan Returns,tt0085919,0,98,65.25999999999999,en,Comedy,Drama,Family,,,,,,,,1983,03
Midnight Express,tt0077928,35000000,121,75.0,en,Drama,Crime,,,,,,,,,1978,08
Misery,tt0100157,61276872,107,77.53,en,Drama,Thriller,,,,,,,,,1990,11
Mr. Saturday Night,tt0104928,13300000,119,58.52,en,Comedy,Drama,,,,,,,,,1992,09
Murphy's Romance,tt0089643,30867525,107,60.58,en,Comedy,Drama,Romance,,,,,,,,1985,12
My Life,tt0107630,27484464,114,66.73,en,Drama,Romance,,,,,,,,,1993,11
Солярис,tt0069293,0,167,78.54,ru,Drama,Science Fiction,Mystery,,,,,,,,1972,03
Network,tt0074958,23689877,122,78.60000000000001,en,Drama,,,,,,,,,,1976,11
No Way Out,tt0093640,35509515,114,69.06,en,Thriller,,,,,,,,,,1987,08
North Dallas Forty,tt0079640,26079312,119,67.0,en,Comedy,Drama,,,,,,,,,1979,08
The Odd Couple,tt0063374,44527234,106,76.0,en,Comedy,,,,,,,,,,1968,05
The Outlaw Josey Wales,tt0075029,31800000,135,74.99,en,Western,,,,,,,,,,1976,07
Frequency,tt0186151,68106245,118,71.97,en,Science Fiction,Thriller,,,,,,,,,2000,04
Ready to Rumble,tt0217756,12372410,107,52.199999999999996,en,Action,Comedy,,,,,,,,,2000,04
Return to Me,tt0122459,36609995,115,65.83,en,Romance,Comedy,,,,,,,,,2000,04
Rules of Engagement,tt0160797,71000000,128,62.12,en,War,Action,Adventure,Drama,History,,,,,,2000,04
Joe Gould's Secret,tt0172632,0,104,61.54,en,Drama,,,,,,,,,,2000,01
Me Myself I,tt0183503,369975,104,55.0,en,Comedy,Romance,,,,,,,,,2000,04
"Bell, Book and Candle",tt0051406,0,106,65.0,en,Comedy,Fantasy,Romance,,,,,,,,1958,12
Force 10 from Navarone,tt0077572,7230000,114,62.0,en,Drama,Adventure,War,,,,,,,,1978,08
Mystery Train,tt0097940,1544973,106,72.88,en,Comedy,,,,,,,,,,1989,09
Arthur,tt0082031,95461682,97,65.1,en,Comedy,Drama,Romance,,,,,,,,1981,07
Bachelor Party,tt0086927,38435947,105,62.96,en,Comedy,,,,,,,,,,1984,06
Parenthood,tt0098067,126297830,124,67.19,en,Comedy,Drama,,,,,,,,,1989,07
Predator,tt0093773,98267558,107,74.86,en,Science Fiction,Action,Adventure,Thriller,,,,,,,1987,06
The Prince of Tides,tt0102713,74787599,132,66.0,en,Drama,Romance,,,,,,,,,1991,12
The Postman Always Rings Twice,tt0082934,12376625,122,65.47,en,Romance,Crime,Drama,,,,,,,,1981,03
All the Vermeers in New York,tt0099014,0,87,58.0,en,Comedy,Drama,Romance,,,,,,,,1992,05
28 Days,tt0191754,6219894,103,61.31,en,Comedy,Drama,,,,,,,,,2000,04
American Psycho,tt0144084,34266564,102,73.91,en,Thriller,Drama,Crime,,,,,,,,2000,04
Keeping the Faith,tt0171433,59945183,127,60.730000000000004,en,Comedy,Romance,,,,,,,,,2000,04
Where the Money Is,tt0149367,0,89,60.0,en,Comedy,Crime,Drama,,,,,,,,2000,04
East Is East,tt0166175,28200000,97,65.98,en,Drama,Comedy,,,,,,,,,1999,05
The Filth and the Fury,tt0236216,0,108,72.0,en,Documentary,Music,,,,,,,,,2000,03
Diner,tt0083833,14100000,110,69.16,en,Comedy,Drama,,,,,,,,,1982,04
Shakes the Clown,tt0102898,115103,87,56.0,en,Comedy,Crime,,,,,,,,,1991,08
Cabaret,tt0068327,0,124,74.22,en,Music,Drama,Romance,,,,,,,,1972,02
What Ever Happened to Baby Jane?,tt0056687,0,135,79.39,en,Drama,Horror,Thriller,,,,,,,,1962,10
Auntie Mame,tt0051383,0,143,71.0,en,Comedy,Drama,Romance,,,,,,,,1958,12
Guys and Dolls,tt0048140,0,150,66.8,en,Comedy,Crime,Romance,,,,,,,,1955,12
The Hunger,tt0085701,5979292,97,66.0,en,Horror,Drama,,,,,,,,,1983,04
Marathon Man,tt0074860,21709020,125,72.49,en,Thriller,,,,,,,,,,1976,10
Caddyshack,tt0080487,39846344,98,66.36999999999999,en,Comedy,,,,,,,,,,1980,07
Gossip,tt0176783,5108820,90,57.64,en,Mystery,Thriller,,,,,,,,,2000,04
Love & Basketball,tt0199725,27728118,124,74.80000000000001,en,Comedy,Drama,Romance,,,,,,,,2000,04
U-571,tt0141926,127666415,116,64.50999999999999,en,War,Drama,Action,Thriller,,,,,,,2000,04
The Virgin Suicides,tt0159097,10409377,97,71.0,en,Drama,Romance,,,,,,,,,1999,12
Jennifer Eight,tt0104549,11390479,124,60.23,en,Crime,Drama,Mystery,Thriller,,,,,,,1992,11
Limelight,tt0044837,1000000,137,79.65,en,Drama,Music,Romance,,,,,,,,1952,10
The Crow: Salvation,tt0132910,0,102,54.02,en,Action,Thriller,Crime,Fantasy,Mystery,Horror,,,,,2000,01
The Flintstones in Viva Rock Vegas,tt0158622,59468275,90,48.07000000000001,en,Comedy,Family,Romance,,,,,,,,2000,04
Where the Heart Is,tt0198021,33771174,120,71.21000000000001,en,Comedy,Drama,Romance,,,,,,,,2000,04
The Big Kahuna,tt0189584,3728888,90,67.98,en,Comedy,Drama,,,,,,,,,1999,11
Bossa Nova,tt0180837,0,95,53.26,en,Comedy,Drama,Romance,,,,,,,,2000,01
Smiling Fish & Goat On Fire,tt0162348,0,90,62.0,en,Comedy,Romance,,,,,,,,,1999,09
Idioterne,tt0154421,7235,117,64.97,da,Drama,Comedy,,,,,,,,,1998,04
Timecode,tt0220100,0,97,57.0,en,Drama,,,,,,,,,,2000,03
Carnosaur,tt0106521,1753979,83,41.67,en,Horror,Science Fiction,,,,,,,,,1993,05
Carnosaur 2,tt0112634,0,83,46.150000000000006,en,Horror,Science Fiction,,,,,,,,,1995,02
Carnosaur 3: Primal Species,tt0115834,0,85,41.790000000000006,en,Action,Horror,Science Fiction,,,,,,,,1996,11
The Hidden,tt0093185,9747988,96,69.87,en,Horror,Science Fiction,Thriller,,,,,,,,1987,10
Two Moon Junction,tt0096324,1547397,104,61.4,en,Drama,Romance,,,,,,,,,1988,04
Gladiator,tt0172495,465361176,155,82.05,en,Action,Drama,Adventure,,,,,,,,2000,05
Up at the Villa,tt0153464,0,115,53.0,en,Drama,Romance,,,,,,,,,2000,04
Human Traffic,tt0188674,4000000,99,67.75,en,Comedy,Drama,,,,,,,,,1999,06
Breathless,tt0085276,19910002,100,58.230000000000004,en,Romance,Drama,Action,,,,,,,,1983,05
The Idolmaker,tt0080913,0,117,56.0,en,Drama,Romance,Music,,,,,,,,1980,11
Inferno,tt0080923,0,107,66.88,it,Horror,Thriller,,,,,,,,,1980,02
The Lords of Flatbush,tt0071772,4000000,86,57.74,en,Drama,,,,,,,,,,1974,05
Mr. Mom,tt0085970,64783827,91,66.44999999999999,en,Comedy,Drama,,,,,,,,,1983,07
Les maîtres du temps,tt0084315,0,75,75.0,fr,Animation,Drama,Science Fiction,Mystery,,,,,,,1982,03
Battlefield Earth,tt0185183,29000000,118,32.39,en,Action,Adventure,Science Fiction,,,,,,,,2000,05
Center Stage,tt0210616,26385941,115,69.4,en,Drama,Music,,,,,,,,,2000,05
Screwed,tt0156323,7201701,81,56.4,en,Action,Comedy,,,,,,,,,2000,05
Whipped,tt0174336,0,82,37.69,en,Comedy,Romance,,,,,,,,,2000,09
Hamlet,tt0171359,1568749,112,57.839999999999996,en,Drama,,,,,,,,,,2000,05
Anchors Aweigh,tt0037514,0,143,68.41,en,Comedy,Fantasy,Music,Romance,War,,,,,,1945,08
Gypsy,tt0056048,0,143,66.13000000000001,en,Comedy,Drama,Music,,,,,,,,1962,12
On the Town,tt0041716,4428000,98,70.17,en,Romance,Comedy,Music,,,,,,,,1949,12
Pee-wee's Big Adventure,tt0089791,40940662,91,64.31,en,Comedy,Adventure,,,,,,,,,1985,07
Regret to Inform,tt0181786,0,72,75.0,en,Documentary,,,,,,,,,,1999,01
Honeymoon in Vegas,tt0104438,35208854,96,55.910000000000004,en,Comedy,Romance,,,,,,,,,1992,08
Dinosaur,tt0130623,354248063,82,65.0,en,Family,Animation,,,,,,,,,2000,05
Loser,tt0217630,0,98,53.61,en,Comedy,Romance,,,,,,,,,2000,07
Road Trip,tt0215129,119754278,93,61.580000000000005,en,Comedy,Adventure,,,,,,,,,2000,05
Small Time Crooks,tt0196216,0,94,64.82000000000001,en,Comedy,Crime,,,,,,,,,2000,05
The Hollywood Knights,tt0080881,10000000,91,61.67,en,Comedy,,,,,,,,,,1980,05
The Twelve Chairs,tt0066495,0,94,62.43000000000001,en,Comedy,,,,,,,,,,1970,10
Mission: Impossible II,tt0120755,546388105,123,61.0,en,Adventure,Action,Thriller,,,,,,,,2000,05
Shanghai Noon,tt0184894,99274467,110,64.0,en,Adventure,Action,Comedy,Western,,,,,,,2000,05
Better Living Through Circuitry,tt0207998,0,85,50.0,en,Documentary,Music,,,,,,,,,1999,01
8 ½ Women,tt0154443,0,118,56.7,en,Drama,Comedy,,,,,,,,,1999,05
Carnival of Souls,tt0055830,0,78,69.93,en,Horror,Mystery,,,,,,,,,1962,11
