original_title,imdb_id,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,Year,Month
From Dusk Till Dawn,tt0116367,25836616,108,70.07,en,Horror,Action,Thriller,Crime,,,,,,,1996,01
Fair Game,tt0113010,11534477,91,49.900000000000006,en,Action,,,,,,,,,,1995,11
Kicking and Screaming,tt0113537,718490,96,63.0,en,Comedy,Drama,Romance,,,,,,,,1995,10
Les Misérables,tt0113828,0,175,69.0,fr,Drama,,,,,,,,,,1995,03
Bed of Roses,tt0115644,19030691,87,59.13,en,Drama,Romance,,,,,,,,,1996,01
Big Bully,tt0115676,2042530,90,45.0,en,Comedy,,,,,,,,,,1996,01
Screamers,tt0114367,5781885,108,62.28,en,Horror,Science Fiction,,,,,,,,,1995,09
Nico Icon,tt0113973,0,70,69.0,en,Documentary,,,,,,,,,,1995,02
The Crossing Guard,tt0112744,0,111,61.0,en,Drama,Thriller,,,,,,,,,1995,11
The Juror,tt0116731,22754725,118,55.44,en,Thriller,,,,,,,,,,1996,02
بادکنک سفید,tt0112445,0,85,76.0,fa,Drama,,,,,,,,,,1995,02
Things to Do in Denver When You're Dead,tt0114660,529766,116,65.02,en,Drama,Crime,,,,,,,,,1995,12
Antonia,tt0112379,0,102,70.3,nl,Drama,Comedy,,,,,,,,,1995,09
Once Upon a Time... When We Were Colored,tt0114039,0,115,53.0,en,Romance,Drama,,,,,,,,,1996,01
Angels and Insects,tt0112365,0,118,65.11999999999999,en,Drama,Romance,,,,,,,,,1995,09
White Squall,tt0118158,10300000,129,62.93,en,Adventure,Action,Drama,,,,,,,,1996,02
Dunston Checks In,tt0116151,0,88,54.0,en,Family,Comedy,Adventure,,,,,,,,1996,01
Black Sheep,tt0115697,32000000,87,60.27,en,Comedy,,,,,,,,,,1996,02
Nick of Time,tt0113972,8175346,90,61.529999999999994,en,Thriller,Crime,Action,,,,,,,,1995,11
Mary Reilly,tt0117002,12379402,104,58.760000000000005,en,Drama,Horror,Thriller,History,,,,,,,1996,02
Vampire in Brooklyn,tt0114825,19800000,100,50.309999999999995,en,Comedy,Horror,Romance,,,,,,,,1995,10
Beautiful Girls,tt0115639,0,112,66.52,en,Comedy,Drama,Romance,,,,,,,,1996,02
Broken Arrow,tt0115759,150270147,108,60.300000000000004,en,Action,,,,,,,,,,1996,02
