,Release Group,Rollout,Markets,Domestic,International,Worldwide,imdb_id,Area,Release Date,Opening,Gross,Filmmakers,Role,# Releases,Lifetime Gross,Rank
0,Original Release,"January 19, 1996","APAC, Domestic","$25,836,616",$68,"$25,836,684",tt0116367,,,,,,,,,
0,,,,,,,tt0113010,Domestic,"Nov 3, 1995","$4,946,332","$11,534,477",,,,,
0,,,,,,,tt0113537,Domestic,"Oct 6, 1995","$19,497","$718,490",,,,,
0,,,,,,,tt0113828,Domestic,"Oct 20, 1995",–,"$740,048",,,,,
0,,,,,,,tt0115644,Domestic,"Jan 26, 1996","$6,117,558","$19,030,691",,,,,
0,,,,,,,tt0115676,Domestic,"Jan 26, 1996","$1,131,094","$2,042,530",,,,,
0,,,,,,,tt0114367,Domestic,"Jan 26, 1996","$2,904,140","$5,711,695",,,,,
0,,,,,,,tt0113973,Domestic,"Sep 8, 1995","$14,763","$306,691",,,,,
0,,,,,,,tt0112744,Domestic,"Nov 17, 1995","$71,804","$868,979",,,,,
0,,,,,,,tt0116731,Domestic,"Feb 2, 1996","$8,411,178","$22,754,725",,,,,
0,,,,,,,tt0112445,Domestic,"Jan 24, 1996",–,"$924,940",,,,,
0,,,,,,,tt0114660,Domestic,"Dec 1, 1995","$44,108","$529,766",,,,,
0,,,,,,,tt0112379,Domestic,"Feb 2, 1996","$45,051","$4,228,275",,,,,
0,,,,,,,tt0114039,Domestic,"Jan 26, 1996","$75,675","$2,291,255",,,,,
0,,,,,,,tt0112365,Domestic,"Jan 26, 1996",–,"$3,414,301",,,,,
0,,,,,,,tt0118158,Domestic,"Feb 2, 1996","$3,908,514","$10,292,300",,,,,
0,,,,,,,tt0116151,Domestic,"Jan 12, 1996","$2,996,891","$9,871,065",,,,,
0,,,,,,,tt0115697,Domestic,"Feb 2, 1996","$10,593,609","$32,417,995",,,,,
0,,,,,,,tt0113972,Domestic,"Nov 22, 1995","$2,781,601","$8,175,346",,,,,
0,,,,,,,tt0117002,Domestic,"Feb 23, 1996","$2,812,620","$5,707,094",,,,,
0,,,,,,,tt0114825,Domestic,"Oct 27, 1995","$7,045,379","$19,751,736",,,,,
0,,,,,,,tt0115639,Domestic,"Feb 9, 1996","$2,761,790","$10,597,759",,,,,
0,,,,,,,tt0115759,Domestic,"Feb 9, 1996","$15,583,510","$70,770,147",,,,,
0,,,,,,,tt0113403,Domestic,"Feb 9, 1996","$19,000","$469,571",,,,,
0,Original Release,"February 9, 1996",Domestic,"$280,859",–,"$280,859",tt0113247,,,,,,,,,
0,,,,,,,tt0113283,Domestic,"Feb 9, 1996","$14,321","$34,402",,,,,
0,,,,,,,tt0115907,Domestic,"Feb 16, 1996","$6,950,794","$20,340,204",,,,,
