,Area,Release Date,Opening,Gross,imdb_id,Release Group,Rollout,Markets,Domestic,International,Worldwide,Filmmakers,Role,APAC,# Releases,Lifetime Gross,Rank
0,,,,,tt7264080,,,,,,,Louis C.K.,Director,,,,
0,,,,,tt5657776,,,,,,,Felipe Sholl,Director,,,,
0,United Kingdom,"May 11, 2012","$122,343","$260,249",tt1980911,,,,,,,,,,,,
0,,,,,tt2778266,,,,,,,Dylan Goch,Director,,,,
0,United Kingdom,"Nov 28, 2008","$4,882","$4,882",tt0984969,,,,,,,,,,,,
0,Lithuania,"Jul 27, 2018","$3,280","$15,111",tt3416536,,,,,,,,,,,,
0,United Kingdom,"Nov 27, 2015","$75,005","$76,196",tt3916100,,,,,,,,,,,,
0,,,,,tt5000724,,,,,,,James Erskine,Director,,,,
0,,,,,tt1277146,,,,,,,Joseph Pierce,Director,,,,
0,,,,,tt3875928,,,,,,,Luke Randall,Director,,,,
0,Italy,"Oct 9, 2014",–,"$240,181",tt4076818,,,,,,,,,,,,
0,,,,,tt5880458,,,,,,,Matiss Kaza,Director,,,,
0,,,,,tt6754750,,,,,,,Herman Yau,Director,,,,
0,Poland,"Mar 24, 2017","$152,341","$652,713",tt6666648,,,,,,,,,,,,
0,,,,,tt3296160,,,,,,,Nathan Hughes-Berry,Director,,,,
0,,,,,tt5716380,,,,,,,Jordan Ross,Director,,,,
0,United Kingdom,"Oct 13, 2017",$688,$688,tt6069264,,,,,,,,,,,,
0,Poland,"Nov 24, 2017","$51,247","$51,247",tt6791238,,,,,,,,,,,,
0,Domestic,"Sep 26, 2017","$19,151","$2,335,162",tt1139592,,,,,,,,,,,,
0,,,,,tt6401004,,,,,,,Peter Ricq,Director,,,,
0,United Kingdom,"Oct 13, 2017","$23,249","$44,511",tt6136778,,,,,,,,,,,,
0,Türkiye,"Jun 29, 2018","$10,563","$21,230",tt6087426,,,,,,,,,,,,
0,,,,,tt5534434,,,,,,,Adam Green,Director,,,,
0,Iceland,"May 5, 2017","$99,971","$728,751",tt4966532,,,,,,,,,,,,
0,France,"Jul 11, 2018","$28,374","$28,374",tt6014904,,,,,,,,,,,,
0,,,,,tt3130560,,,,,,,Adolfo J. Kolmerer,Director,,,,
0,Domestic,"Nov 30, 2018","$4,324","$15,285",tt5375434,,,,,,,,,,,,
0,,,,,tt7012864,,,,,,,Ryan Prows,Director,,,,
0,,,,,tt5778938,,,,,,,Tini Tüllmann,Director,,,,
0,,,,,tt5748392,Original Release,"August 31-April 19, 2018",10 markets,–,"$1,696,568","$1,696,568",,,,,,
0,,,,,tt7031862,,,,,,,Yongsun Lee,Director,,,,
0,,,,,tt6642870,Original Release,"June 7, 2017",France,–,"$554,098","$554,098",,,,,,
0,,,,,tt6411984,Original Release,"April 11, 2013",New Zealand,–,"$336,491","$336,491",,,,,,
0,,,,,tt3066954,,,,,,,Olivier Peyon,Director,,,,
0,Domestic,"Apr 18, 2018","$2,442","$11,567",tt6144536,,,,,,,,,,,,
0,,,,,tt5687424,,,,,,,Sadrac González-Perellón,Director,,,,
0,,,,,tt6294822,Original Release,"December 22-March 30, 2018",67 markets,"$81,903,458","$97,865,999","$179,769,457",,,,,,
0,Finland,"Dec 2, 2016","$124,819","$431,671",tt5735188,,,,,,,,,,,,
0,,,,,tt1721493,,,,,,,J.P. Pierce,Director,,,,
0,,,,,tt6596630,,,,,,,Pablo Giorgelli,Director,,,,
0,Denmark,"Aug 27, 2015",–,"$3,166,999",tt2378830,,,,,,,,,,,,
0,Poland,"Dec 1, 2017","$215,022","$568,058",tt7130740,,,,,,,,,,,,
0,Romania,"Jan 5, 2018","$52,761","$79,646",tt6204340,,,,,,,,,,,,
0,Greece,"Oct 26, 2017","$348,765","$1,668,811",tt7436642,,,,,,,,,,,,
